,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11679","T_norm 11679","T_cpu 11679","T_wc 11679","# SAT 11679","# UNSAT 11679","# UNKNOWN 11679",
"QF_NIA_small\02.smt2",,871.666666666667,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,783.814162607718,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,193.75634057971,223.672,232.564,0,1,0,
"QF_NIA_small\1008.smt2",0,0.333954842664487,0.391,0.644,1,0,0,
"QF_NIA_small\1010.smt2",0,0.303812843261512,0.344,0.472,1,0,0,
"QF_NIA_small\1018.smt2",0,0.121665632754342,0.141,0.251,1,0,0,
"QF_NIA_small\1021.smt2",0,0.133691206543967,0.156,0.242,1,0,0,
"QF_NIA_small\1034.smt2",0,0.11404273877017,0.125,0.238,1,0,0,
"QF_NIA_small\1063.smt2",0,0.099923576614444,0.125,0.255,1,0,0,
"QF_NIA_small\107.smt2",0,0.0704775765416128,0.078,0.18,1,0,0,
"QF_NIA_small\1082.smt2",0,0.277483022071307,0.313,0.474,1,0,0,
"QF_NIA_small\1085.smt2",0,0.365141867739053,0.391,0.554,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0628908128908129,0.063,0.157,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0961397058823529,0.094,0.175,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0885154738878143,0.109,0.215,1,0,0,
"QF_NIA_small\11.smt2",,897.084048027444,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.443721719457014,0.469,0.62,1,0,0,
"QF_NIA_small\1112.smt2",0,0.107373298920695,0.109,0.213,1,0,0,
"QF_NIA_small\1113.smt2",0,0.10595623987034,0.125,0.231,1,0,0,
"QF_NIA_small\1126.smt2",0,0.437338152783772,0.484,0.676,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0958577712609971,0.109,0.154,1,0,0,
"QF_NIA_small\1148.smt2",0,0.111224007561437,0.141,0.259,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0987537764350453,0.109,0.223,1,0,0,
"QF_NIA_small\1176.smt2",0,0.297932942708333,0.328,0.497,1,0,0,
"QF_NIA_small\1188.smt2",0,0.332072659010601,0.359,0.579,1,0,0,
"QF_NIA_small\1190.smt2",0,0.345967267738142,0.422,0.625,1,0,0,
"QF_NIA_small\1192.smt2",0,0.325883181621153,0.359,0.524,1,0,0,
"QF_NIA_small\1198.smt2",0,0.124182144364711,0.141,0.262,1,0,0,
"QF_NIA_small\1199.smt2",0,0.13098285841496,0.141,0.273,1,0,0,
"QF_NIA_small\1221.smt2",0,0.13645060296846,0.141,0.226,1,0,0,
"QF_NIA_small\124.smt2",,917.141604559404,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.125079719387755,0.141,0.249,1,0,0,
"QF_NIA_small\1258.smt2",0,3.21305701179554,3.516,3.766,1,0,0,
"QF_NIA_small\1260.smt2",0,4.15679190751445,4.125,4.334,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0679573804573805,0.078,0.165,1,0,0,
"QF_NIA_small\127.smt2",0,163.039875209732,185.797,193.228,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0601149425287356,0.063,0.147,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0693266171792153,0.063,0.155,1,0,0,
"QF_NIA_small\1287.smt2",0,0.0970778532032244,0.109,0.195,1,0,0,
"QF_NIA_small\1296.smt2",0,0.874071519524618,0.984,1.21,1,0,0,
"QF_NIA_small\1303.smt2",0,0.123400796979866,0.141,0.246,1,0,0,
"QF_NIA_small\1304.smt2",0,0.432453239051095,0.453,0.66,1,0,0,
"QF_NIA_small\1308.smt2",0,0.051449370409234,0.047,0.167,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0949757869249395,0.094,0.205,1,0,0,
"QF_NIA_small\1344.smt2",0,0.0964233038348083,0.109,0.197,1,0,0,
"QF_NIA_small\1349.smt2",0,0.084427464485579,0.094,0.201,1,0,0,
"QF_NIA_small\1354.smt2",0,0.331194933920705,0.359,0.516,1,0,0,
"QF_NIA_small\1361.smt2",0,0.112812769628991,0.125,0.205,1,0,0,
"QF_NIA_small\1367.smt2",0,0.0742897727272727,0.078,0.203,1,0,0,
"QF_NIA_small\1371.smt2",0,0.114192139737991,0.125,0.211,1,0,0,
"QF_NIA_small\140.smt2",,923.212709620477,1000,1000,0,0,0,
