,"smt.arith.nl.incremental_linearization=false","-file:{0} smt.arith.nl.incremental_linearization=false",,,,,,
,"RV 11691","T_norm 11691","T_cpu 11691","T_wc 11691","# SAT 11691","# UNSAT 11691","# UNKNOWN 11691",
"QF_NIA_small\02.smt2",,930.19119608715,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,889.077773055674,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,173.467861622074,198.344,206.345,0,1,0,
"QF_NIA_small\1008.smt2",,915.135608048994,1000,1000,0,0,0,
"QF_NIA_small\1010.smt2",0,17.4953906535232,22.906,23.869,1,0,0,
"QF_NIA_small\1018.smt2",0,0.315458409926471,0.328,0.518,1,0,0,
"QF_NIA_small\1021.smt2",0,0.35042345626072,0.391,0.561,1,0,0,
"QF_NIA_small\1034.smt2",0,0.319570530726257,0.328,0.509,1,0,0,
"QF_NIA_small\1063.smt2",0,0.113007778738116,0.125,0.244,1,0,0,
"QF_NIA_small\107.smt2",0,0.0671752979860255,0.078,0.133,1,0,0,
"QF_NIA_small\1082.smt2",0,2.19702868852459,2.563,2.741,1,0,0,
"QF_NIA_small\1085.smt2",0,0.356940361192776,0.406,0.581,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0672029194078947,0.078,0.198,1,0,0,
"QF_NIA_small\1090.smt2",0,0.067675983436853,0.078,0.184,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0988818063958513,0.109,0.215,1,0,0,
"QF_NIA_small\11.smt2",,854.575163398693,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",,1014.05719825497,1000,1000,0,0,0,
"QF_NIA_small\1112.smt2",0,0.0934309922417313,0.109,0.224,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0687578880942364,0.078,0.19,1,0,0,
"QF_NIA_small\1126.smt2",0,3.33094608879493,3.766,3.978,1,0,0,
"QF_NIA_small\1132.smt2",0,0.105913325232888,0.125,0.226,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0864748677248677,0.094,0.227,1,0,0,
"QF_NIA_small\1152.smt2",0,0.117107030900134,0.125,0.214,1,0,0,
"QF_NIA_small\1176.smt2",,856.674856674857,1000,1000,0,0,0,
"QF_NIA_small\1188.smt2",,974.382859804378,1000,1000,0,0,0,
"QF_NIA_small\1190.smt2",,967.175219602404,1000,1000,0,0,0,
"QF_NIA_small\1192.smt2",,1063.0081300813,1000,1000,0,0,0,
"QF_NIA_small\1198.smt2",0,0.10859634551495,0.125,0.271,1,0,0,
"QF_NIA_small\1199.smt2",0,0.117369838420108,0.125,0.269,1,0,0,
"QF_NIA_small\1221.smt2",0,0.11908014571949,0.125,0.233,1,0,0,
"QF_NIA_small\124.smt2",,872.393661384487,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.140229515229515,0.156,0.276,1,0,0,
"QF_NIA_small\1258.smt2",,1013.07506053269,1000,1000,0,0,0,
"QF_NIA_small\1260.smt2",,862.324814509481,1000,1000,0,0,0,
"QF_NIA_small\1268.smt2",0,0.0615294117647059,0.063,0.174,1,0,0,
"QF_NIA_small\127.smt2",0,163.513908368396,167.188,173.684,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0573464912280702,0.063,0.195,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0503853564547206,0.063,0.144,1,0,0,
"QF_NIA_small\1287.smt2",,861.969509682736,1000,1000,0,0,0,
"QF_NIA_small\1296.smt2",,881.584492203961,1000,1000,0,0,0,
"QF_NIA_small\1303.smt2",,841.851106639839,1000,1000,0,0,0,
"QF_NIA_small\1304.smt2",,871.666666666667,1000,1000,0,0,0,
"QF_NIA_small\1308.smt2",0,0.0761591332712022,0.078,0.233,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0795316301703163,0.094,0.235,1,0,0,
"QF_NIA_small\1344.smt2",0,0.109414225941423,0.125,0.227,1,0,0,
"QF_NIA_small\1349.smt2",0,0.0707215491129381,0.078,0.151,1,0,0,
"QF_NIA_small\1354.smt2",0,6.63323744769875,7.578,7.927,1,0,0,
"QF_NIA_small\1361.smt2",0,0.13239165654111,0.156,0.257,1,0,0,
