,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\02.smt2",,854.575163398693,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,921.992066989863,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,176.355666035354,200.297,208.335,0,1,0,
"QF_NIA_small\1008.smt2",0,0.673679690854444,0.75,0.932,1,0,0,
"QF_NIA_small\1010.smt2",0,0.150823196308725,0.172,0.287,1,0,0,
"QF_NIA_small\1018.smt2",0,0.319161920260374,0.375,0.596,1,0,0,
"QF_NIA_small\1021.smt2",0,0.122170888704319,0.141,0.255,1,0,0,
"QF_NIA_small\1034.smt2",0,0.142181383210091,0.156,0.289,1,0,0,
"QF_NIA_small\1063.smt2",0,1.04812419837537,1.172,1.374,1,0,0,
"QF_NIA_small\107.smt2",0,0.0687000840689365,0.078,0.206,1,0,0,
"QF_NIA_small\1082.smt2",0,0.587640449438202,0.75,0.984,1,0,0,
"QF_NIA_small\1085.smt2",0,0.416696175637394,0.422,0.568,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0706603977518374,0.078,0.284,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0687578880942364,0.078,0.221,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0815827787021631,0.094,0.182,1,0,0,
"QF_NIA_small\11.smt2",,877.88501888376,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.0726711871943086,0.078,0.158,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0996063991874048,0.094,0.182,1,0,0,
"QF_NIA_small\1113.smt2",0,0.160363859362224,0.188,0.36,1,0,0,
"QF_NIA_small\1126.smt2",0,0.14280253385758,0.156,0.259,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0868578387953942,0.094,0.253,1,0,0,
"QF_NIA_small\1148.smt2",0,0.107373298920695,0.109,0.224,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0907986111111111,0.109,0.419,1,0,0,
"QF_NIA_small\1176.smt2",0,0.323499354561102,0.359,0.649,1,0,0,
"QF_NIA_small\1188.smt2",0,0.123245705906996,0.141,0.253,1,0,0,
"QF_NIA_small\1190.smt2",0,0.125079719387755,0.141,0.263,1,0,0,
"QF_NIA_small\1192.smt2",0,0.363832747510252,0.297,0.438,1,0,0,
"QF_NIA_small\1198.smt2",0,0.117487020766773,0.141,0.256,1,0,0,
"QF_NIA_small\1199.smt2",0,0.129540951122853,0.141,0.252,1,0,0,
"QF_NIA_small\1221.smt2",0,0.126152444253859,0.141,0.307,1,0,0,
"QF_NIA_small\124.smt2",,861.969509682736,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.14486804995971,0.172,0.286,1,0,0,
"QF_NIA_small\1258.smt2",0,4.33347265932337,5.266,5.593,1,0,0,
"QF_NIA_small\1260.smt2",0,4.08730357739886,5.844,6.167,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0840295629820051,0.094,0.165,1,0,0,
"QF_NIA_small\127.smt2",0,144.70264443059,166.422,173.068,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0849025974025974,0.094,0.122,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0988818063958513,0.109,0.2,1,0,0,
"QF_NIA_small\1287.smt2",0,0.0936988124488125,0.109,0.152,1,0,0,
"QF_NIA_small\1296.smt2",0,1.05104501607717,1.25,1.436,1,0,0,
"QF_NIA_small\1303.smt2",0,0.141504329004329,0.156,0.271,1,0,0,
"QF_NIA_small\1304.smt2",0,1.00717787114846,1.031,1.24,1,0,0,
"QF_NIA_small\1308.smt2",0,0.158292978208232,0.188,0.4,1,0,0,
"QF_NIA_small\1324.smt2",0,0.225625539257981,0.25,1.136,1,0,0,
"QF_NIA_small\1344.smt2",0,0.1634375,0.188,0.352,1,0,0,
"QF_NIA_small\1349.smt2",0,0.1563995215311,0.156,0.299,1,0,0,
"QF_NIA_small\1354.smt2",0,0.21946583728278,0.266,0.468,1,0,0,
"QF_NIA_small\1361.smt2",0,0.110058922558923,0.125,0.167,1,0,0,
"QF_NIA_small\1367.smt2",0,0.102376957494407,0.109,0.235,1,0,0,
"QF_NIA_small\1371.smt2",0,0.114177894211577,0.109,0.207,1,0,0,
"QF_NIA_small\140.smt2",,1001.4360938248,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0863606340819022,0.094,0.18,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0546385290430422,0.063,0.177,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0860197368421053,0.094,0.19,1,0,0,
"QF_NIA_small\1430.smt2",0,0.082683389544688,0.094,0.876,1,0,0,
"QF_NIA_small\1448.smt2",0,0.121264427040396,0.141,0.242,1,0,0,
"QF_NIA_small\1458.smt2",0,0.135408036454018,0.156,0.26,1,0,0,
"QF_NIA_small\1460.smt2",0,0.151039661147478,0.188,0.429,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0817528136723635,0.094,0.2,1,0,0,
"QF_NIA_small\1484.smt2",0,0.728702229299363,0.766,0.946,1,0,0,
"QF_NIA_small\1488.smt2",0,0.947668758113371,1.047,1.281,1,0,0,
"QF_NIA_small\149.smt2",0,0.16805912596401,0.188,1.798,1,0,0,
"QF_NIA_small\1500.smt2",0,0.0787967055042186,0.094,0.16,1,0,0,
"QF_NIA_small\1511.smt2",0,0.160626535626536,0.188,0.295,1,0,0,
"QF_NIA_small\1514.smt2",0,0.566601320676847,0.656,0.842,1,0,0,
"QF_NIA_small\1516.smt2",0,0.257269348491474,0.281,0.488,1,0,0,
"QF_NIA_small\1520.smt2",0,0.59579536039768,0.688,0.859,1,0,0,
"QF_NIA_small\1521.smt2",0,0.417287234042553,0.469,0.618,1,0,0,
"QF_NIA_small\1536.smt2",0,0.283769119470856,0.328,0.521,1,0,0,
"QF_NIA_small\1541.smt2",0,0.112279948475741,0.125,0.393,1,0,0,
"QF_NIA_small\1547.smt2",0,0.498622881355932,0.563,0.74,1,0,0,
"QF_NIA_small\1555.smt2",0,1.53016545601291,1.813,2.066,1,0,0,
"QF_NIA_small\1557.smt2",0,1.16429207479964,1.25,1.485,1,0,0,
"QF_NIA_small\1567.smt2",0,0.0853088299260548,0.094,0.223,1,0,0,
"QF_NIA_small\1574.smt2",0,114.00554884844,146.703,152.356,1,0,0,
"QF_NIA_small\1582.smt2",0,0.135745431893688,0.156,0.284,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0877909579230081,0.094,0.193,1,0,0,
"QF_NIA_small\1594.smt2",0,0.151586214165261,0.172,0.258,1,0,0,
"QF_NIA_small\1607.smt2",0,0.110012620950778,0.125,0.291,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0673969072164948,0.078,0.185,1,0,0,
"QF_NIA_small\1640.smt2",0,0.067230563554093,0.078,0.378,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0896952175617405,0.109,0.229,1,0,0,
"QF_NIA_small\1648.smt2",0,1.68826976559396,2.031,2.245,0,1,0,
"QF_NIA_small\1649.smt2",0,0.962948950766747,1.141,1.362,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0873608017817372,0.094,0.198,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0953544340723453,0.078,0.205,1,0,0,
"QF_NIA_small\167.smt2",0,0.0670375307629204,0.078,0.158,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0830334462320068,0.094,0.152,1,0,0,
"QF_NIA_small\1689.smt2",0,23.8817764804003,27.375,28.535,1,0,0,
"QF_NIA_small\1693.smt2",0,0.105486083098023,0.125,0.245,1,0,0,
"QF_NIA_small\1728.smt2",0,0.10079845814978,0.109,0.224,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0532369706840391,0.063,0.174,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0953544340723454,0.078,0.196,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0561158798283262,0.063,0.122,1,0,0,
"QF_NIA_small\1767.smt2",0,0.102975922592259,0.109,0.239,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0690775570583263,0.078,0.163,1,0,0,
"QF_NIA_small\177.smt2",,896.315338474722,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.043294701986755,0.047,0.151,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0659820347194187,0.078,0.184,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0829983072365637,0.094,0.221,1,0,0,
"QF_NIA_small\179.smt2",0,0.0419428999144568,0.047,0.172,1,0,0,
"QF_NIA_small\1794.smt2",0,0.140169382504288,0.156,0.28,1,0,0,
"QF_NIA_small\1805.smt2",0,0.334944108057755,0.344,0.537,0,1,0,
"QF_NIA_small\1809.smt2",0,0.622619047619048,0.719,0.903,0,1,0,
"QF_NIA_small\181.smt2",,913.138367525098,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,920.774647887324,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,900.172117039587,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,988.190836088805,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0785002401536984,0.078,0.116,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0706603977518374,0.078,0.224,1,0,0,
"QF_NIA_small\1858.smt2",0,0.102102855867916,0.109,0.219,1,0,0,
"QF_NIA_small\187.smt2",0,0.0501726784343822,0.063,0.283,1,0,0,
"QF_NIA_small\1884.smt2",0,0.19190313111546,0.188,0.371,1,0,0,
"QF_NIA_small\1895.smt2",0,75.7592269458545,85.609,89.062,1,0,0,
"QF_NIA_small\1898.smt2",0,81.8356103166497,76.594,79.605,1,0,0,
"QF_NIA_small\1901.smt2",0,145.297144175554,169.328,176.056,1,0,0,
"QF_NIA_small\1917.smt2",0,0.246801593959732,0.281,0.508,1,0,0,
"QF_NIA_small\192.smt2",0,0.07352114260009,0.078,0.196,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0919294897549217,0.109,0.162,1,0,0,
"QF_NIA_small\1933.smt2",0,1.10006009615385,1.203,1.411,1,0,0,
"QF_NIA_small\1934.smt2",0,1.21807869355546,1.328,1.519,0,1,0,
"QF_NIA_small\199.smt2",0,0.356790512174643,0.406,0.611,1,0,0,
"QF_NIA_small\20.smt2",0,1.97461663568773,2.031,2.343,1,0,0,
"QF_NIA_small\203.smt2",0,6.92308981233244,7.406,7.832,1,0,0,
"QF_NIA_small\211.smt2",0,12.6523287962569,14.219,14.792,1,0,0,
"QF_NIA_small\23.smt2",0,6.84660848431286,7.406,7.713,1,0,0,
"QF_NIA_small\250.smt2",0,0.0519674085850556,0.063,0.71,1,0,0,
"QF_NIA_small\257.smt2",0,0.0276310228233305,0.031,0.358,1,0,0,
"QF_NIA_small\264.smt2",0,0.083103813559322,0.094,0.145,1,0,0,
"QF_NIA_small\269.smt2",0,0.110899067005937,0.125,1.014,1,0,0,
"QF_NIA_small\281.smt2",0,0.0746630881681133,0.078,0.249,1,0,0,
"QF_NIA_small\307.smt2",0,57.1710784313726,62.719,65.275,1,0,0,
"QF_NIA_small\310.smt2",0,205.759210526316,233.594,242.884,1,0,0,
"QF_NIA_small\322.smt2",0,0.587200598802395,0.656,0.846,1,0,0,
"QF_NIA_small\34.smt2",0,46.8627917690418,54.703,56.953,1,0,0,
"QF_NIA_small\35.smt2",,923.212709620477,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0549139017219656,0.063,0.176,1,0,0,
"QF_NIA_small\364.smt2",0,0.055614632071459,0.063,0.182,1,0,0,
"QF_NIA_small\367.smt2",0,0.0784813925570228,0.094,0.207,1,0,0,
"QF_NIA_small\370.smt2",0,0.0725099822537711,0.078,0.202,1,0,0,
"QF_NIA_small\377.smt2",0,0.054867813680235,0.063,0.191,1,0,0,
"QF_NIA_small\40.smt2",,844.229217110573,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.111466325660699,0.125,0.251,1,0,0,
"QF_NIA_small\424.smt2",0,26.2222013052209,24.969,26.033,1,0,0,
"QF_NIA_small\443.smt2",0,0.0802475450081833,0.094,0.218,1,0,0,
"QF_NIA_small\449.smt2",0,0.219747899159664,0.25,0.38,1,0,0,
"QF_NIA_small\455.smt2",0,0.0987964162348877,0.109,0.227,1,0,0,
"QF_NIA_small\460.smt2",0,0.241813533507398,0.266,0.398,1,0,0,
"QF_NIA_small\466.smt2",0,0.113154478580701,0.125,0.214,1,0,0,
"QF_NIA_small\485.smt2",0,29.5138205731394,32.984,34.322,1,0,0,
"QF_NIA_small\496.smt2",0,0.0602645648967552,0.078,0.201,1,0,0,
"QF_NIA_small\498.smt2",0,0.0872996947729874,0.109,0.244,1,0,0,
