,"smt.arith.nl.bounded_nra=false","-file:{0} smt.arith.nl.bounded_nra=false",,,,,,
,"RV 11680","T_norm 11680","T_cpu 11680","T_wc 11680","# SAT 11680","# UNSAT 11680","# UNKNOWN 11680",
"QF_NIA_small\02.smt2",,849.715678310317,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,864.462809917355,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,179.096959012781,194.25,202.019,0,1,0,
"QF_NIA_small\1008.smt2",0,0.157426663747811,0.172,0.296,1,0,0,
"QF_NIA_small\1010.smt2",0,0.120076530612245,0.141,0.288,1,0,0,
"QF_NIA_small\1018.smt2",0,0.100268404907975,0.109,0.194,1,0,0,
"QF_NIA_small\1021.smt2",0,0.083103813559322,0.094,0.207,1,0,0,
"QF_NIA_small\1034.smt2",0,0.0851236979166667,0.094,0.214,1,0,0,
"QF_NIA_small\1063.smt2",0,0.127078833693305,0.141,0.211,1,0,0,
"QF_NIA_small\107.smt2",0,0.0675082610491533,0.078,0.191,1,0,0,
"QF_NIA_small\1082.smt2",0,0.119637047580317,0.141,0.271,1,0,0,
"QF_NIA_small\1085.smt2",0,0.405088179218303,0.406,0.507,0,1,0,
"QF_NIA_small\1089.smt2",0,0.057145979020979,0.063,0.199,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0537402383888204,0.063,0.21,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0683552906733584,0.078,0.223,1,0,0,
"QF_NIA_small\11.smt2",,854.924397221087,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.0917451884522855,0.109,0.227,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0801491622394769,0.094,0.203,1,0,0,
"QF_NIA_small\1113.smt2",0,0.109241552172299,0.141,0.245,1,0,0,
"QF_NIA_small\1126.smt2",0,0.0940454171804357,0.109,0.221,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0929376523151909,0.109,0.216,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0927492906364005,0.109,1.4,1,0,0,
"QF_NIA_small\1152.smt2",0,0.13034448382809,0.141,1.345,1,0,0,
"QF_NIA_small\1176.smt2",0,0.115350683722982,0.125,0.435,1,0,0,
"QF_NIA_small\1188.smt2",0,0.102308294209703,0.094,0.205,1,0,0,
"QF_NIA_small\1190.smt2",0,0.132996157323689,0.141,0.247,1,0,0,
"QF_NIA_small\1192.smt2",0,0.104576096892139,0.109,0.218,1,0,0,
"QF_NIA_small\1198.smt2",0,0.116015971606034,0.125,0.238,1,0,0,
"QF_NIA_small\1199.smt2",0,0.109322742474916,0.125,0.225,1,0,0,
"QF_NIA_small\1221.smt2",0,0.133782401091405,0.141,0.261,1,0,0,
"QF_NIA_small\124.smt2",,944.896115627823,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.127243728373702,0.141,0.244,1,0,0,
"QF_NIA_small\1258.smt2",0,0.478216437177281,0.531,0.706,1,0,0,
"QF_NIA_small\1260.smt2",0,0.348799542682927,0.328,0.472,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0605043961129107,0.063,0.158,1,0,0,
"QF_NIA_small\127.smt2",0,144.771487001345,154.391,160.671,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0547300125575555,0.063,0.17,1,0,0,
"QF_NIA_small\1283.smt2",0,0.058816914080072,0.063,0.167,1,0,0,
"QF_NIA_small\1287.smt2",0,0.0643771541112752,0.063,0.176,1,0,0,
"QF_NIA_small\1296.smt2",0,0.220954795099282,0.25,0.457,1,0,0,
"QF_NIA_small\1303.smt2",0,0.0540066088393226,0.063,0.168,1,0,0,
"QF_NIA_small\1304.smt2",0,0.165786136939983,0.188,0.294,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0765156835205992,0.078,0.175,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0843548387096774,0.094,0.225,1,0,0,
"QF_NIA_small\1344.smt2",0,0.0991030823648307,0.094,0.199,1,0,0,
"QF_NIA_small\1349.smt2",0,0.0969544491525424,0.109,0.24,1,0,0,
"QF_NIA_small\1354.smt2",0,0.134148426812586,0.141,0.23,1,0,0,
"QF_NIA_small\1361.smt2",0,0.101604129662522,0.109,0.229,1,0,0,
"QF_NIA_small\1367.smt2",0,0.122556239957151,0.109,0.163,1,0,0,
"QF_NIA_small\1371.smt2",0,0.118576178960097,0.141,0.252,1,0,0,
"QF_NIA_small\140.smt2",,985.862393967955,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0546842325386867,0.063,0.428,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0602257024412713,0.063,0.156,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0581973293768546,0.047,0.159,1,0,0,
"QF_NIA_small\1430.smt2",0,0.0849393676916414,0.094,0.174,1,0,0,
"QF_NIA_small\1448.smt2",0,0.0750057365764112,0.078,0.194,1,0,0,
"QF_NIA_small\1458.smt2",0,0.103161632100992,0.109,0.213,1,0,0,
"QF_NIA_small\1460.smt2",0,0.0863986784140969,0.094,0.2,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0581369497554469,0.063,0.184,1,0,0,
"QF_NIA_small\1484.smt2",0,0.809239610963749,0.875,1.057,1,0,0,
"QF_NIA_small\1488.smt2",0,0.978263673890609,0.906,1.078,1,0,0,
"QF_NIA_small\149.smt2",0,0.0577772867874503,0.063,0.185,1,0,0,
