,"smt.arith.nl.branching=false","-file:{0} smt.arith.nl.branching=false",,,,,,
,"RV 11681","T_norm 11681","T_cpu 11681","T_wc 11681","# SAT 11681","# UNSAT 11681","# UNKNOWN 11681",
"QF_NIA_small\02.smt2",,883.073026593499,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,917.141604559404,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,178.518612429866,197.719,205.674,0,1,0,
"QF_NIA_small\1008.smt2",0,0.319983057228916,0.406,0.62,1,0,0,
"QF_NIA_small\1010.smt2",0,0.336532005371531,0.359,0.519,1,0,0,
"QF_NIA_small\1018.smt2",0,0.141872829861111,0.156,0.243,1,0,0,
"QF_NIA_small\1021.smt2",0,0.106722248134328,0.109,0.205,1,0,0,
"QF_NIA_small\1034.smt2",0,0.129086222027205,0.141,0.251,1,0,0,
"QF_NIA_small\1063.smt2",0,0.232116750208855,0.266,0.45,1,0,0,
"QF_NIA_small\107.smt2",0,0.0552386987748204,0.063,0.175,1,0,0,
"QF_NIA_small\1082.smt2",0,0.264727150019283,0.328,0.505,1,0,0,
"QF_NIA_small\1085.smt2",0,0.429291744840525,0.438,0.626,0,1,0,
"QF_NIA_small\1089.smt2",0,0.258740105540897,0.281,0.454,1,0,0,
"QF_NIA_small\1090.smt2",0,0.286203917050691,0.297,0.476,1,0,0,
"QF_NIA_small\1092.smt2",0,0.305231324278438,0.344,0.532,1,0,0,
"QF_NIA_small\11.smt2",,918.752744839701,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.448964333185645,0.484,0.663,1,0,0,
"QF_NIA_small\1112.smt2",0,0.539945997458704,0.609,0.757,1,0,0,
"QF_NIA_small\1113.smt2",0,0.487873134328358,0.578,0.699,1,0,0,
"QF_NIA_small\1126.smt2",0,0.218228421554602,0.219,0.408,1,0,0,
"QF_NIA_small\1132.smt2",0,0.234004474272931,0.25,0.383,1,0,0,
"QF_NIA_small\1148.smt2",0,0.221288684719536,0.219,0.404,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0854947689625109,0.094,0.216,1,0,0,
"QF_NIA_small\1176.smt2",0,0.330176767676768,0.359,0.507,1,0,0,
"QF_NIA_small\1188.smt2",0,0.330845141700405,0.391,0.583,1,0,0,
"QF_NIA_small\1190.smt2",0,0.335050225502255,0.391,0.556,1,0,0,
"QF_NIA_small\1192.smt2",0,0.329887011847301,0.359,0.541,1,0,0,
"QF_NIA_small\1198.smt2",0,0.398815110276865,0.406,0.567,1,0,0,
"QF_NIA_small\1199.smt2",0,0.409922201579192,0.422,0.609,1,0,0,
"QF_NIA_small\1221.smt2",0,0.400582107843137,0.469,0.657,1,0,0,
"QF_NIA_small\124.smt2",,972.57089725709,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.147174696082846,0.156,0.24,1,0,0,
"QF_NIA_small\1258.smt2",0,6.28661226290251,6.813,7.733,1,0,0,
"QF_NIA_small\1260.smt2",0,22.1864781263809,24,24.993,1,0,0,
"QF_NIA_small\1268.smt2",0,0.053150406504065,0.063,0.158,1,0,0,
"QF_NIA_small\127.smt2",0,161.332623106061,183.234,190.413,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0435059893522626,0.047,0.156,1,0,0,
"QF_NIA_small\1283.smt2",0,0.129199604743083,0.141,0.228,1,0,0,
"QF_NIA_small\1287.smt2",0,0.081650707743547,0.094,0.2,1,0,0,
"QF_NIA_small\1296.smt2",0,1.70402358295408,1.969,2.136,1,0,0,
"QF_NIA_small\1303.smt2",0,0.121514869888476,0.141,0.229,1,0,0,
