,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\02.smt2",,863.748967795211,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,914.335664335664,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,213.765609104781,200.891,208.868,0,1,0,
"QF_NIA_small\1008.smt2",0,0.290248414376321,0.328,0.519,1,0,0,
"QF_NIA_small\1010.smt2",0,0.30291701769166,0.344,0.533,1,0,0,
"QF_NIA_small\1018.smt2",0,0.125399616368286,0.141,0.246,1,0,0,
"QF_NIA_small\1021.smt2",0,0.116648493259318,0.141,0.243,1,0,0,
"QF_NIA_small\1034.smt2",0,0.184588235294118,0.188,0.269,1,0,0,
"QF_NIA_small\1063.smt2",0,0.116429207479964,0.125,0.233,1,0,0,
"QF_NIA_small\107.smt2",0,0.0588963963963964,0.063,0.188,1,0,0,
"QF_NIA_small\1082.smt2",0,0.26450702725724,0.297,0.541,1,0,0,
"QF_NIA_small\1085.smt2",0,0.39225,0.422,0.629,0,1,0,
"QF_NIA_small\1089.smt2",0,0.073853366470854,0.078,0.166,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0805772391125719,0.094,0.193,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0807431041580897,0.094,0.201,1,0,0,
"QF_NIA_small\11.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.436804008908686,0.469,0.633,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0872054246331703,0.094,0.197,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0857189685314685,0.094,0.198,1,0,0,
"QF_NIA_small\1126.smt2",0,0.41341694772344,0.469,0.66,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0940067789646672,0.109,0.21,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0700246358183376,0.078,0.204,1,0,0,
"QF_NIA_small\1152.smt2",0,0.147640018066847,0.156,0.243,1,0,0,
"QF_NIA_small\1176.smt2",0,0.303941251056636,0.344,0.502,1,0,0,
"QF_NIA_small\1188.smt2",0,0.372425503943909,0.406,0.591,1,0,0,
"QF_NIA_small\1190.smt2",0,0.329483410331793,0.375,0.55,1,0,0,
"QF_NIA_small\1192.smt2",0,0.34168118466899,0.422,0.609,1,0,0,
"QF_NIA_small\1198.smt2",0,0.106257618854124,0.125,0.225,1,0,0,
"QF_NIA_small\1199.smt2",0,0.100965250965251,0.125,0.288,1,0,0,
"QF_NIA_small\1221.smt2",0,0.132124090541633,0.156,0.28,1,0,0,
"QF_NIA_small\124.smt2",,895.164741121095,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.148242630385488,0.125,0.248,1,0,0,
"QF_NIA_small\1258.smt2",0,3.20047323759791,3.516,3.716,1,0,0,
"QF_NIA_small\1260.smt2",0,3.75235702445089,4.328,4.566,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0683838912133891,0.078,0.177,1,0,0,
"QF_NIA_small\127.smt2",0,142.936876085069,157.422,163.97,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0516186340307935,0.063,0.175,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0824054621848739,0.094,0.178,1,0,0,
"QF_NIA_small\1287.smt2",0,0.103301354401806,0.109,0.236,1,0,0,
"QF_NIA_small\1296.smt2",0,0.898725055432372,0.969,1.154,1,0,0,
"QF_NIA_small\1303.smt2",0,0.114291958041958,0.125,0.245,1,0,0,
"QF_NIA_small\1304.smt2",0,0.430830144557823,0.484,0.668,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0538287361053932,0.063,0.182,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0976231956197113,0.094,0.196,1,0,0,
"QF_NIA_small\1344.smt2",0,0.092555450684285,0.094,0.193,1,0,0,
"QF_NIA_small\1349.smt2",0,0.0699347454000856,0.078,0.199,1,0,0,
"QF_NIA_small\1354.smt2",0,0.304871248986212,0.359,0.545,1,0,0,
"QF_NIA_small\1361.smt2",0,0.0973256061250532,0.109,0.194,1,0,0,
"QF_NIA_small\1367.smt2",0,0.120562471184878,0.125,0.21,1,0,0,
"QF_NIA_small\1371.smt2",0,0.118917689859027,0.125,0.218,1,0,0,
"QF_NIA_small\140.smt2",,910.35683202785,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0737201172755977,0.078,0.157,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0734220575022462,0.078,0.182,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0556382978723404,0.063,0.186,1,0,0,
"QF_NIA_small\1430.smt2",0,0.0830334462320068,0.094,0.175,1,0,0,
"QF_NIA_small\1448.smt2",0,0.0862467018469657,0.094,0.18,1,0,0,
"QF_NIA_small\1458.smt2",0,0.131216547725245,0.141,0.25,1,0,0,
"QF_NIA_small\1460.smt2",0,0.111323967645807,0.125,0.254,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0951007896924356,0.109,0.195,1,0,0,
"QF_NIA_small\1484.smt2",0,0.841738197424893,0.938,1.131,1,0,0,
"QF_NIA_small\1488.smt2",0,0.976174791392183,1.063,1.285,1,0,0,
"QF_NIA_small\149.smt2",0,0.0825789473684211,0.094,0.209,1,0,0,
"QF_NIA_small\1500.smt2",0,0.128074662603396,0.141,0.224,1,0,0,
"QF_NIA_small\1511.smt2",0,0.159710912052117,0.188,0.291,1,0,0,
