,"smt.arith.gomory_use_big_cuts=false","-file:{0} smt.arith.gomory_use_big_cuts=false",,,,,,
,"RV 11689","T_norm 11689","T_cpu 11689","T_wc 11689","# SAT 11689","# UNSAT 11689","# UNKNOWN 11689",
"QF_NIA_small\02.smt2",,1106.29296668429,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,794.83282674772,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,202.658958559047,178.828,185.983,0,1,0,
"QF_NIA_small\1008.smt2",0,0.329476127320955,0.297,0.454,1,0,0,
"QF_NIA_small\1010.smt2",0,0.31074581258488,0.328,0.527,1,0,0,
"QF_NIA_small\1018.smt2",0,0.160090160284951,0.172,0.244,1,0,0,
"QF_NIA_small\1021.smt2",0,0.127796481320591,0.141,0.248,1,0,0,
"QF_NIA_small\1034.smt2",0,0.140470562956596,0.156,0.26,1,0,0,
"QF_NIA_small\1063.smt2",0,0.101875556544969,0.109,0.217,1,0,0,
"QF_NIA_small\107.smt2",0,0.0567245119305857,0.063,0.223,1,0,0,
"QF_NIA_small\1082.smt2",0,0.266184853420195,0.313,0.477,1,0,0,
"QF_NIA_small\1085.smt2",0,0.335876489930127,0.391,0.577,0,1,0,
"QF_NIA_small\1089.smt2",0,0.126024096385542,0.125,0.218,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0870505992010652,0.094,0.206,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0812448218724109,0.094,0.192,1,0,0,
"QF_NIA_small\11.smt2",,855.273916598528,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.417541058394161,0.438,0.626,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0932786384019568,0.109,0.199,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0796608448415922,0.094,0.201,1,0,0,
"QF_NIA_small\1126.smt2",0,0.407116311771796,0.484,0.659,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0944335534461412,0.109,0.24,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0892694583522986,0.094,0.207,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0972015717926933,0.109,0.215,1,0,0,
"QF_NIA_small\1176.smt2",0,0.29703050627434,0.328,0.522,1,0,0,
"QF_NIA_small\1188.smt2",0,0.317622517955218,0.359,0.532,1,0,0,
"QF_NIA_small\1190.smt2",0,0.322361932938856,0.391,0.616,1,0,0,
"QF_NIA_small\1192.smt2",0,0.326331114808652,0.375,0.59,1,0,0,
"QF_NIA_small\1198.smt2",0,0.112618432385874,0.125,0.233,1,0,0,
"QF_NIA_small\1199.smt2",0,0.137805649241147,0.156,0.262,1,0,0,
"QF_NIA_small\1221.smt2",0,0.109920134510298,0.125,0.231,1,0,0,
"QF_NIA_small\124.smt2",,877.51677852349,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.137111996644295,0.156,0.26,1,0,0,
"QF_NIA_small\1258.smt2",0,3.01248436196831,3.453,3.656,1,0,0,
"QF_NIA_small\1260.smt2",0,3.69768099547511,4.297,4.549,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0564063848144953,0.063,0.193,1,0,0,
"QF_NIA_small\127.smt2",0,180.024667553191,161.781,168.245,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0399277280130293,0.047,0.192,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0566507798960139,0.063,0.201,1,0,0,
"QF_NIA_small\1287.smt2",0,0.0993972632493484,0.109,0.174,1,0,0,
"QF_NIA_small\1296.smt2",0,0.869050171526587,0.969,1.16,1,0,0,
"QF_NIA_small\1303.smt2",0,0.102011814534106,0.109,0.232,1,0,0,
"QF_NIA_small\1304.smt2",0,0.440460391996733,0.516,0.699,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0547071129707113,0.063,0.184,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0891014408099688,0.109,0.225,1,0,0,
"QF_NIA_small\1344.smt2",0,0.0994404606692742,0.109,0.192,1,0,0,
"QF_NIA_small\1349.smt2",0,0.084719222462203,0.094,0.198,1,0,0,
"QF_NIA_small\1354.smt2",0,0.30063754180602,0.344,0.537,1,0,0,
"QF_NIA_small\1361.smt2",0,0.0879033807145601,0.109,0.22,1,0,0,
"QF_NIA_small\1367.smt2",0,0.0928999187982135,0.109,0.236,1,0,0,
"QF_NIA_small\1371.smt2",0,0.0945506198347107,0.109,0.22,1,0,0,
"QF_NIA_small\140.smt2",,866.611433305717,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0666751657317695,0.063,0.16,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0563820612332902,0.063,0.177,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0600321395775941,0.063,0.176,1,0,0,
"QF_NIA_small\1430.smt2",0,0.0806103575832306,0.094,0.215,1,0,0,
"QF_NIA_small\1448.smt2",0,0.0816167290886392,0.094,0.202,1,0,0,
"QF_NIA_small\1458.smt2",0,0.143226630963973,0.141,0.257,1,0,0,
"QF_NIA_small\1460.smt2",0,0.130899599542334,0.109,0.215,1,0,0,
"QF_NIA_small\1468.smt2",0,0.135311945594323,0.109,0.216,1,0,0,
"QF_NIA_small\1484.smt2",0,0.912770021074816,0.828,1.035,1,0,0,
"QF_NIA_small\1488.smt2",0,0.989593188268685,1,1.19,1,0,0,
"QF_NIA_small\149.smt2",0,0.0857939632545932,0.094,0.205,1,0,0,
"QF_NIA_small\1500.smt2",0,0.103115141955836,0.125,0.257,1,0,0,
"QF_NIA_small\1511.smt2",0,0.169365284974093,0.188,0.399,1,0,0,
"QF_NIA_small\1514.smt2",0,0.154054198800343,0.172,0.276,1,0,0,
"QF_NIA_small\1516.smt2",0,0.137747576906869,0.156,0.296,1,0,0,
"QF_NIA_small\1520.smt2",0,0.213272074815137,0.234,0.409,1,0,0,
"QF_NIA_small\1521.smt2",0,0.690686724850712,0.719,0.9,1,0,0,
"QF_NIA_small\1536.smt2",0,0.229789103690685,0.25,0.415,1,0,0,
"QF_NIA_small\1541.smt2",0,0.705900176289114,0.766,0.94,1,0,0,
"QF_NIA_small\1547.smt2",0,1.30803389138424,1.531,1.717,1,0,0,
"QF_NIA_small\1555.smt2",0,0.336860507913139,0.438,0.653,1,0,0,
"QF_NIA_small\1557.smt2",0,0.497779187817259,0.469,0.639,1,0,0,
"QF_NIA_small\1567.smt2",0,0.0938140631406314,0.109,0.133,1,0,0,
"QF_NIA_small\1574.smt2",0,99.1156119246862,113.234,117.791,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0602534562211982,0.063,0.144,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0889455782312925,0.094,0.209,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0542306097055164,0.063,0.207,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0719038715354157,0.078,0.186,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0804450369155045,0.094,0.181,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0868358633776091,0.109,0.195,1,0,0,
