,"smt.arith.gomory_polarity=false","-file:{0} smt.arith.gomory_polarity=false",,,,,,
,"RV 11688","T_norm 11688","T_cpu 11688","T_wc 11688","# SAT 11688","# UNSAT 11688","# UNKNOWN 11688",
"QF_NIA_small\02.smt2",,887.192536047498,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,1022.98288508557,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,180.685770515267,181.031,188.337,0,1,0,
"QF_NIA_small\1008.smt2",0,0.30658217954444,0.328,0.499,1,0,0,
"QF_NIA_small\1010.smt2",0,0.361713744903902,0.297,0.464,1,0,0,
"QF_NIA_small\1018.smt2",0,0.13353949160236,0.141,0.249,1,0,0,
"QF_NIA_small\1021.smt2",0,0.113498263888889,0.109,0.208,1,0,0,
"QF_NIA_small\1034.smt2",0,0.13451646090535,0.156,0.271,1,0,0,
"QF_NIA_small\1063.smt2",0,0.128060724779628,0.125,0.233,1,0,0,
"QF_NIA_small\107.smt2",0,0.0737866817155756,0.078,0.165,1,0,0,
"QF_NIA_small\1082.smt2",0,0.327172429481347,0.344,0.528,1,0,0,
"QF_NIA_small\1085.smt2",0,0.366287539220081,0.391,0.562,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0751091452205882,0.078,0.154,1,0,0,
"QF_NIA_small\1090.smt2",0,0.102883318345324,0.109,0.177,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0680635085892764,0.063,0.186,1,0,0,
"QF_NIA_small\11.smt2",,907.592190889371,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.431993392070485,0.375,0.542,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0862087912087912,0.094,0.192,1,0,0,
"QF_NIA_small\1113.smt2",0,0.069282534972446,0.078,0.224,1,0,0,
"QF_NIA_small\1126.smt2",0,0.44797192749779,0.484,0.667,1,0,0,
"QF_NIA_small\1132.smt2",0,0.101649266992448,0.109,0.155,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0723815323294951,0.078,0.21,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0904218533886584,0.094,0.217,1,0,0,
"QF_NIA_small\1176.smt2",0,0.305490654205607,0.313,0.488,1,0,0,
"QF_NIA_small\1188.smt2",0,0.361187845303867,0.375,0.561,1,0,0,
"QF_NIA_small\1190.smt2",0,0.331772595456742,0.328,0.514,1,0,0,
"QF_NIA_small\1192.smt2",0,0.386834319526627,0.375,0.546,1,0,0,
"QF_NIA_small\1198.smt2",0,0.120506912442396,0.125,0.239,1,0,0,
"QF_NIA_small\1199.smt2",0,0.12535953978907,0.125,0.229,1,0,0,
"QF_NIA_small\1221.smt2",0,0.132516891891892,0.141,0.704,1,0,0,
"QF_NIA_small\124.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.1563995215311,0.172,0.261,1,0,0,
"QF_NIA_small\1258.smt2",0,3.0253470761464,3.438,3.629,1,0,0,
"QF_NIA_small\1260.smt2",0,3.86229365768897,4.25,4.48,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0567984361424848,0.063,0.176,1,0,0,
"QF_NIA_small\127.smt2",0,143.255659662045,158.047,164.431,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0571709663314386,0.063,0.185,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0581628113879004,0.063,0.177,1,0,0,
"QF_NIA_small\1287.smt2",0,0.087283044058745,0.094,0.203,1,0,0,
"QF_NIA_small\1296.smt2",0,0.954915730337079,1.016,1.197,1,0,0,
"QF_NIA_small\1303.smt2",0,0.101244469026549,0.109,0.221,1,0,0,
"QF_NIA_small\1304.smt2",0,0.423230470435909,0.469,0.655,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0419070512820513,0.047,0.184,1,0,0,
"QF_NIA_small\1324.smt2",0,0.101334145261293,0.109,0.179,1,0,0,
"QF_NIA_small\1344.smt2",0,0.106358459869848,0.094,0.186,1,0,0,
"QF_NIA_small\1349.smt2",0,0.113350671868227,0.125,0.27,1,0,0,
"QF_NIA_small\1354.smt2",0,0.373407293497364,0.406,0.588,1,0,0,
"QF_NIA_small\1361.smt2",0,0.103911217075386,0.109,0.22,1,0,0,
"QF_NIA_small\1367.smt2",0,0.108147229114971,0.125,0.244,1,0,0,
"QF_NIA_small\1371.smt2",0,0.104195127504554,0.109,0.209,1,0,0,
"QF_NIA_small\140.smt2",,890.971039182283,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.057145979020979,0.063,0.168,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0423413212435233,0.047,0.17,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0710597826086957,0.078,0.176,1,0,0,
"QF_NIA_small\1430.smt2",0,0.0558283518360376,0.063,0.192,1,0,0,
"QF_NIA_small\1448.smt2",0,0.0878302731751008,0.094,0.217,1,0,0,
"QF_NIA_small\1458.smt2",0,0.137111996644295,0.156,0.242,1,0,0,
"QF_NIA_small\1460.smt2",0,0.141749783174328,0.156,0.251,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0854947689625109,0.094,0.195,1,0,0,
"QF_NIA_small\1484.smt2",0,0.863924393414211,0.953,1.127,1,0,0,
"QF_NIA_small\1488.smt2",0,0.881141304347826,0.969,1.151,1,0,0,
"QF_NIA_small\149.smt2",0,0.0824747687132044,0.094,0.206,1,0,0,
"QF_NIA_small\1500.smt2",0,0.12460292249047,0.141,0.251,1,0,0,
"QF_NIA_small\1511.smt2",0,0.126314942035208,0.141,0.265,1,0,0,
"QF_NIA_small\1514.smt2",0,0.116429207479964,0.125,0.247,1,0,0,
"QF_NIA_small\1516.smt2",0,0.102428515471994,0.125,0.265,1,0,0,
"QF_NIA_small\1520.smt2",0,0.223347065916399,0.266,0.453,1,0,0,
"QF_NIA_small\1521.smt2",0,0.665705527847049,0.766,0.957,1,0,0,
"QF_NIA_small\1536.smt2",0,0.218736930154747,0.25,0.49,1,0,0,
"QF_NIA_small\1541.smt2",0,0.686652078774617,0.75,0.932,1,0,0,
"QF_NIA_small\1547.smt2",0,1.26273046532046,1.375,1.541,1,0,0,
"QF_NIA_small\1555.smt2",0,0.377809289383562,0.422,0.639,1,0,0,
"QF_NIA_small\1557.smt2",0,0.442283298097252,0.5,0.684,1,0,0,
"QF_NIA_small\1567.smt2",0,0.0787334403853874,0.094,0.201,1,0,0,
"QF_NIA_small\1574.smt2",0,113.809661502547,128.172,133.255,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0545929018789144,0.063,0.192,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0719671950682519,0.078,0.193,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0507964257964258,0.063,0.166,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0757707464070468,0.078,0.219,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0520087509944312,0.063,0.201,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0946288254755997,0.109,0.215,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0952195172700791,0.109,0.216,1,0,0,
"QF_NIA_small\1648.smt2",0,1.76970541401274,1.859,2.042,0,1,0,
"QF_NIA_small\1649.smt2",0,0.884128670788253,1.094,1.316,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0760174418604651,0.078,0.179,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0540512608515916,0.063,0.204,1,0,0,
"QF_NIA_small\167.smt2",0,0.0645998023715415,0.063,0.154,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0926741595787768,0.109,0.197,1,0,0,
"QF_NIA_small\1689.smt2",0,26.9715660009742,26.469,27.541,1,0,0,
"QF_NIA_small\1693.smt2",0,0.08171875,0.094,0.192,1,0,0,
"QF_NIA_small\1728.smt2",0,0.104337665298678,0.109,0.238,1,0,0,
