,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\02.smt2",,851.098454027665,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,954.379562043796,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,184.142221549637,181.766,189.055,0,1,0,
"QF_NIA_small\1008.smt2",0,0.294229532790399,0.328,0.514,1,0,0,
"QF_NIA_small\1010.smt2",0,0.342440476190476,0.344,0.454,1,0,0,
"QF_NIA_small\1018.smt2",0,0.126804956896552,0.141,0.24,1,0,0,
"QF_NIA_small\1021.smt2",0,0.121816770186335,0.141,0.251,1,0,0,
"QF_NIA_small\1034.smt2",0,0.122425093632959,0.141,0.246,1,0,0,
"QF_NIA_small\1063.smt2",0,0.109597652975692,0.125,0.252,1,0,0,
"QF_NIA_small\107.smt2",0,0.0737866817155756,0.078,0.178,1,0,0,
"QF_NIA_small\1082.smt2",0,0.270368072787428,0.313,0.562,1,0,0,
"QF_NIA_small\1085.smt2",0,0.356544604596806,0.438,0.67,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0707828064097012,0.078,0.183,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0673413679439637,0.078,0.19,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0793707001214083,0.094,0.223,1,0,0,
"QF_NIA_small\11.smt2",,915.536105032823,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.428824587388912,0.484,0.634,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0737866817155756,0.078,0.19,1,0,0,
"QF_NIA_small\1113.smt2",0,0.073648141194142,0.094,0.218,1,0,0,
"QF_NIA_small\1126.smt2",0,0.400142465175179,0.453,0.699,1,0,0,
"QF_NIA_small\1132.smt2",0,0.112376450365277,0.125,0.229,1,0,0,
"QF_NIA_small\1148.smt2",0,0.11469298245614,0.125,0.244,1,0,0,
"QF_NIA_small\1152.smt2",0,0.125132922160783,0.141,0.269,1,0,0,
"QF_NIA_small\1176.smt2",0,0.284362766420183,0.313,0.432,1,0,0,
"QF_NIA_small\1188.smt2",0,0.300244608626198,0.359,0.545,1,0,0,
"QF_NIA_small\1190.smt2",0,0.360153151167915,0.391,0.588,1,0,0,
"QF_NIA_small\1192.smt2",0,0.329345088161209,0.375,0.59,1,0,0,
"QF_NIA_small\1198.smt2",0,0.130402260638298,0.141,0.226,1,0,0,
"QF_NIA_small\1199.smt2",0,0.106952965235174,0.125,0.236,1,0,0,
"QF_NIA_small\1221.smt2",0,0.148748577929465,0.125,0.206,1,0,0,
"QF_NIA_small\124.smt2",,860.55121349239,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.158677184466019,0.188,0.287,1,0,0,
"QF_NIA_small\1258.smt2",0,3.12255753365176,3.438,3.643,1,0,0,
"QF_NIA_small\1260.smt2",0,4.0028592883549,4.141,4.349,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0582405345211581,0.063,0.185,1,0,0,
"QF_NIA_small\127.smt2",0,141.73245292887,161.922,168.399,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0679573804573805,0.063,0.123,1,0,0,
