,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\02.smt2",,883.819180397127,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,194.14881885356,207.234,215.403,0,1,0,
"QF_NIA_small\1008.smt2",0,0.285065406976744,0.328,0.519,1,0,0,
"QF_NIA_small\1010.smt2",0,0.274579992363498,0.344,0.547,1,0,0,
"QF_NIA_small\1018.smt2",0,0.144809706000805,0.172,0.296,1,0,0,
"QF_NIA_small\1021.smt2",0,0.146383788625168,0.156,0.27,1,0,0,
"QF_NIA_small\1034.smt2",0,0.119588414634146,0.141,0.248,1,0,0,
"QF_NIA_small\1063.smt2",0,0.0947071605960265,0.109,0.237,1,0,0,
"QF_NIA_small\107.smt2",0,0.0690483734685256,0.078,0.193,1,0,0,
"QF_NIA_small\1082.smt2",0,0.279721882640587,0.328,0.543,1,0,0,
"QF_NIA_small\1085.smt2",0,0.385968037459283,0.453,0.606,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0878302731751008,0.094,0.221,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0790507859733978,0.094,0.213,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0854947689625109,0.094,0.181,1,0,0,
"QF_NIA_small\11.smt2",,928.12777284827,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.448409413434248,0.453,0.614,1,0,0,
"QF_NIA_small\1112.smt2",0,0.102468652037618,0.109,0.248,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0864748677248677,0.094,0.191,1,0,0,
"QF_NIA_small\1126.smt2",0,0.424512987012987,0.469,0.653,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0680705955851728,0.078,0.206,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0868578387953942,0.094,0.222,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0964233038348083,0.094,0.191,1,0,0,
"QF_NIA_small\1176.smt2",0,0.282397408207343,0.313,0.522,1,0,0,
"QF_NIA_small\1188.smt2",0,0.354557780559032,0.406,0.712,1,0,0,
"QF_NIA_small\1190.smt2",0,0.380825242718447,0.375,0.524,1,0,0,
"QF_NIA_small\1192.smt2",0,0.329511088709677,0.391,0.592,1,0,0,
"QF_NIA_small\1198.smt2",0,0.134762940907009,0.141,0.179,1,0,0,
"QF_NIA_small\1199.smt2",0,0.118112014453478,0.125,0.23,1,0,0,
