,"smt.arith.nl.propagate_monomial_bounds=false","-file:{0} smt.arith.nl.propagate_monomial_bounds=false",,,,,,
,"RV 11694","T_norm 11694","T_cpu 11694","T_wc 11694","# SAT 11694","# UNSAT 11694","# UNKNOWN 11694",
"QF_NIA_small\02.smt2",,924.436588599205,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,858.432498974149,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,173.694973916533,206.906,214.933,0,1,0,
"QF_NIA_small\1008.smt2",0,0.33961038961039,0.375,0.523,1,0,0,
"QF_NIA_small\1010.smt2",0,0.371448863636364,0.406,0.57,1,0,0,
"QF_NIA_small\1018.smt2",0,0.132876016260163,0.141,0.397,1,0,0,
"QF_NIA_small\1021.smt2",0,0.122527072053311,0.141,0.207,1,0,0,
"QF_NIA_small\1034.smt2",0,0.136939673229996,0.156,0.311,1,0,0,
"QF_NIA_small\1063.smt2",0,0.0982449549162731,0.109,0.235,1,0,0,
"QF_NIA_small\107.smt2",0,0.0664650264335096,0.078,0.14,1,0,0,
"QF_NIA_small\1082.smt2",0,0.304500810044552,0.359,0.553,1,0,0,
"QF_NIA_small\1085.smt2",0,0.343777388255916,0.375,0.618,0,1,0,
"QF_NIA_small\1089.smt2",0,0.251442307692308,0.281,0.483,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0558521999145664,0.063,0.181,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0947071605960265,0.109,0.241,1,0,0,
"QF_NIA_small\11.smt2",,850.060950832995,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.461225534820209,0.484,0.865,1,0,0,
"QF_NIA_small\1112.smt2",0,0.0714012669287899,0.078,0.217,1,0,0,
"QF_NIA_small\1113.smt2",0,0.519078076753419,0.563,0.787,1,0,0,
"QF_NIA_small\1126.smt2",0,0.184916231505657,0.203,0.253,1,0,0,
"QF_NIA_small\1132.smt2",0,0.102790880503145,0.109,0.383,1,0,0,
"QF_NIA_small\1148.smt2",0,0.245012125220459,0.266,0.474,1,0,0,
"QF_NIA_small\1152.smt2",0,0.0860197368421053,0.094,0.262,1,0,0,
"QF_NIA_small\1176.smt2",0,0.29765107615894,0.344,0.507,1,0,0,
"QF_NIA_small\1188.smt2",0,0.330176767676768,0.375,0.582,1,0,0,
"QF_NIA_small\1190.smt2",0,0.345343362425356,0.359,0.53,1,0,0,
"QF_NIA_small\1192.smt2",0,0.373735708003518,0.406,0.6,1,0,0,
"QF_NIA_small\1198.smt2",0,0.379270519982811,0.422,0.572,1,0,0,
"QF_NIA_small\1199.smt2",0,0.384037505648441,0.406,0.572,1,0,0,
"QF_NIA_small\1221.smt2",0,0.402179677556216,0.453,0.65,1,0,0,
"QF_NIA_small\124.smt2",,937.696100403407,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.134295398520953,0.156,0.388,1,0,0,
"QF_NIA_small\1258.smt2",0,16.7684409052808,19.125,19.897,1,0,0,
"QF_NIA_small\1260.smt2",0,5.37204038997214,5.531,5.754,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0525100401606426,0.063,0.187,1,0,0,
"QF_NIA_small\127.smt2",0,141.443651674062,167.609,174.035,1,0,0,
"QF_NIA_small\1270.smt2",0,0.075595513413506,0.078,0.207,1,0,0,
