,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11678","T_norm 11678","T_cpu 11678","T_wc 11678","# SAT 11678","# UNSAT 11678","# UNKNOWN 11678",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2",0,0.348035562180579,0.391,0.574,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0.smt2",0,0.229055028854081,0.266,0.43,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0.smt2",0,0.418330759046778,0.453,0.629,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20202_terminationG_0.smt2",0,0.516973565295978,0.547,0.739,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20203_terminationG_0.smt2",0,267.971282228361,278.219,289.53,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20204_terminationG_0.smt2",0,11.004562762605,10.016,10.449,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20211_terminationG_0.smt2",,852.13849287169,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20212_terminationG_0.smt2",0,91.7560164500406,107.984,112.232,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20216_terminationG_0.smt2",0,1.39924426301853,1.516,1.678,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20217_terminationG_0.smt2",0,34.3382336214741,36.078,37.638,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20227_terminationG_0.smt2",0,30.5944886119467,34.031,35.453,1,0,0,
