,"mathsat","{0}",,,,,,
,"RV 11617","T_norm 11617","T_cpu 11617","T_wc 11617","# SAT 11617","# UNSAT 11617","# UNKNOWN 11617",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2",0,0.13380065493246,0.156,0.28,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0.smt2",0,0.584416903697684,0.688,0.837,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0.smt2",0,3.07503626191463,3.547,3.777,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20202_terminationG_0.smt2",0,0.338584376348727,0.375,0.521,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20203_terminationG_0.smt2",0,0.713470088924818,0.844,0.997,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20204_terminationG_0.smt2",0,60.0198458352508,62.344,64.835,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20211_terminationG_0.smt2",,535.038363171356,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20212_terminationG_0.smt2",,618.629866929522,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20216_terminationG_0.smt2",,511.283095723014,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20217_terminationG_0.smt2",,497.502972651605,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20227_terminationG_0.smt2",,500.478468899521,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20228_terminationG_0.smt2",0,36.8679795961296,41.891,43.616,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20232_terminationG_0.smt2",,512.326530612245,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20233_terminationG_0.smt2",0,23.72732976866,25.984,27.004,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20238_terminationG_0.smt2",,495.734597156398,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20239_terminationG_0.smt2",0,42.0687286142002,47.016,49.094,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20246_terminationG_0.smt2",,508.178137651822,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20247_terminationG_0.smt2",,512.745098039216,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20253_terminationG_0.smt2",0,80.5235321771835,92.109,95.766,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20254_terminationG_0.smt2",,531.414055884843,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20255_terminationG_0.smt2",,553.683281870313,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20259_terminationG_0.smt2",0,71.45812761109,89.938,93.472,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20260_terminationG_0.smt2",,517.181705809642,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20269_terminationG_0.smt2",,551.736263736264,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20270_terminationG_0.smt2",,573.41251713111,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20271_terminationG_0.smt2",,505.925030229746,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20279_terminationG_0.smt2",,566.937669376694,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20280_terminationG_0.smt2",,596.011396011396,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20281_terminationG_0.smt2",,530.739957716702,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20288_terminationG_0.smt2",0,2.30310908319185,2.594,2.7,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20289_terminationG_0.smt2",0,12.3892684001763,13.438,14.043,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20305_terminationG_0.smt2",0,72.9549073688593,83.766,87.199,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20306_terminationG_0.smt2",,552.464788732394,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20307_terminationG_0.smt2",,576.044056906838,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20312_terminationG_0.smt2",0,64.5757946210269,75.75,78.823,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20313_terminationG_0.smt2",,516.330728095434,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20314_terminationG_0.smt2",,564.134831460674,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20324_terminationG_0.smt2",,523.436196830692,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20325_terminationG_0.smt2",,502.08,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20326_terminationG_0.smt2",,511.283095723014,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_0_0.smt2",0,0.285896501457726,0.375,0.507,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2",0,0.311444348202685,0.344,0.43,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_3_0.smt2",0,0.347001061571125,0.391,0.514,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_4_0.smt2",0,5.31065377932233,5.844,6.12,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20348_terminationG_0.smt2",0,3.53199615540267,4.172,4.723,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20349_terminationG_0.smt2",0,158.061541329357,177.328,184.837,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20354_terminationG_0.smt2",0,55.9230260372566,63.141,65.785,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20359_terminationG_0.smt2",0,9.46177519558214,9.828,10.322,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20363_terminationG_0.smt2",,472.412495295446,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20364_terminationG_0.smt2",,538.019717102443,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20368_terminationG_0.smt2",0,0.605573281185673,0.703,1.865,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20369_terminationG_0.smt2",,548.361730013106,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2",0,0.0364138507240995,0.047,0.185,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20394_terminationG_0.smt2",0,0.255704041720991,0.281,0.396,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20395_terminationG_0.smt2",0,31.6571184155952,36.484,37.951,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20396_terminationG_0.smt2",0,22.2758194016718,24.203,25.242,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c__p20413_terminationG_0.smt2",0,1.56758236030025,1.797,1.934,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__p20426_terminationG_0.smt2",0,4.64675245098039,4.984,5.245,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__terminationS_1_0.smt2",0,0.771506211180124,0.891,1.02,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__p20439_terminationG_0.smt2",0,0.257044560943643,0.281,0.429,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__p20440_terminationG_0.smt2",0,0.666046238244514,0.609,0.714,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__term_unfeasibility_0_0.smt2",0,0.0569468641114983,0.063,0.167,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20452_terminationG_0.smt2",0,0.967849388077379,1.172,1.311,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20453_terminationG_0.smt2",0,5.67180365296804,6.531,6.856,1,0,0,
