,"z3","{0}",,,,,,
,"RV 11744","T_norm 11744","T_cpu 11744","T_wc 11744","# SAT 11744","# UNSAT 11744","# UNKNOWN 11744",
"QF_NIA_small\02.smt2",,898.239587805925,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,875.680200920887,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,191.741733409611,200.266,208.229,0,1,0,
"QF_NIA_small\1008.smt2",0,0.307489775051125,0.359,0.509,1,0,0,
"QF_NIA_small\1010.smt2",0,0.299261339991677,0.344,0.5,1,0,0,
"QF_NIA_small\1018.smt2",0,0.113399826539462,0.125,0.214,1,0,0,
"QF_NIA_small\1021.smt2",0,0.132816027088036,0.141,0.183,1,0,0,
"QF_NIA_small\1034.smt2",0,0.14521323856064,0.156,1.27,1,0,0,
"QF_NIA_small\1063.smt2",0,0.112666953899181,0.125,0.154,1,0,0,
"QF_NIA_small\107.smt2",0,0.06584911361805,0.078,1.328,1,0,0,
"QF_NIA_small\1082.smt2",0,0.252669853539463,0.297,1.028,1,0,0,
"QF_NIA_small\1085.smt2",0,0.364932216905901,0.438,0.558,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0862087912087912,0.094,0.143,1,0,0,
"QF_NIA_small\1090.smt2",0,0.0704168461869884,0.078,0.19,1,0,0,
"QF_NIA_small\1092.smt2",0,0.0872442170818505,0.094,0.198,1,0,0,
"QF_NIA_small\11.smt2",,919.964819700968,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.424157597321055,0.484,0.696,1,0,0,
"QF_NIA_small\1112.smt2",0,0.100400394910048,0.109,0.211,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0835641244141457,0.094,0.18,1,0,0,
"QF_NIA_small\1126.smt2",0,0.389308557565064,0.422,1.465,1,0,0,
"QF_NIA_small\1132.smt2",0,0.0885154738878143,0.109,0.227,1,0,0,
"QF_NIA_small\1148.smt2",0,0.114894551845343,0.125,0.211,1,0,0,
"QF_NIA_small\1152.smt2",0,0.102549019607843,0.125,0.536,1,0,0,
"QF_NIA_small\1176.smt2",0,0.33129222972973,0.328,0.447,1,0,0,
"QF_NIA_small\1188.smt2",0,0.307976445396146,0.344,0.626,1,0,0,
"QF_NIA_small\1190.smt2",0,0.322113324764353,0.359,1.759,1,0,0,
"QF_NIA_small\1192.smt2",0,0.307364063777596,0.359,0.535,1,0,0,
"QF_NIA_small\1198.smt2",0,0.0952988338192419,0.109,0.241,1,0,0,
"QF_NIA_small\1199.smt2",0,0.115198237885463,0.125,1.284,1,0,0,
"QF_NIA_small\1221.smt2",0,0.129142888498683,0.141,0.21,1,0,0,
"QF_NIA_small\124.smt2",,842.19001610306,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.124084869848156,0.109,0.423,1,0,0,
"QF_NIA_small\1258.smt2",0,3.00396731406916,3.031,3.222,1,0,0,
"QF_NIA_small\1260.smt2",0,3.73029497098646,3.688,4.049,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0544564764681383,0.063,0.192,1,0,0,
"QF_NIA_small\127.smt2",0,157.538073201515,179,186.177,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0569468641114983,0.063,0.185,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0788791023166023,0.078,0.181,1,0,0,
"QF_NIA_small\1287.smt2",0,0.0898008241758242,0.094,0.223,1,0,0,
"QF_NIA_small\1296.smt2",0,0.893023633998265,0.984,1.31,1,0,0,
"QF_NIA_small\1303.smt2",0,0.126206563706564,0.125,0.232,1,0,0,
"QF_NIA_small\1304.smt2",0,0.402484608619173,0.438,0.608,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0708748915871639,0.078,0.155,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0858315098468271,0.094,0.179,1,0,0,
"QF_NIA_small\1344.smt2",0,0.100842882327016,0.109,0.28,1,0,0,
"QF_NIA_small\1349.smt2",0,0.0929062055897678,0.094,0.17,1,0,0,
"QF_NIA_small\1354.smt2",0,0.295146726862302,0.313,0.489,1,0,0,
"QF_NIA_small\1361.smt2",0,0.0763013538748833,0.078,0.185,1,0,0,
"QF_NIA_small\1367.smt2",0,0.106871788883699,0.109,0.215,1,0,0,
"QF_NIA_small\1371.smt2",0,0.0982449549162731,0.109,0.207,1,0,0,
"QF_NIA_small\140.smt2",,959.193030719853,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0713700873362445,0.078,0.183,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0860574813514699,0.094,0.184,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0439151365875504,0.047,1.223,1,0,0,
"QF_NIA_small\1430.smt2",0,0.0426729765013055,0.047,0.167,1,0,0,
"QF_NIA_small\1448.smt2",0,0.0809497275879148,0.078,0.194,1,0,0,
"QF_NIA_small\1458.smt2",0,0.121177015755329,0.125,0.247,1,0,0,
"QF_NIA_small\1460.smt2",0,0.128522280471822,0.141,0.24,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0823708525829483,0.094,0.198,1,0,0,
"QF_NIA_small\1484.smt2",0,0.995475536694957,0.953,1.122,1,0,0,
"QF_NIA_small\1488.smt2",0,0.936902866242038,0.984,1.147,1,0,0,
"QF_NIA_small\149.smt2",0,0.0566507798960139,0.063,0.186,1,0,0,
"QF_NIA_small\1500.smt2",0,0.111704399829133,0.125,0.211,1,0,0,
"QF_NIA_small\1511.smt2",0,0.175660546350202,0.188,0.493,1,0,0,
"QF_NIA_small\1514.smt2",0,0.146223058153721,0.172,1.167,1,0,0,
"QF_NIA_small\1516.smt2",0,0.14489140070922,0.156,0.236,1,0,0,
"QF_NIA_small\1520.smt2",0,0.181505552751136,0.172,0.268,1,0,0,
"QF_NIA_small\1521.smt2",0,0.529465046888321,0.594,0.757,1,0,0,
"QF_NIA_small\1536.smt2",0,0.19853579175705,0.219,0.386,1,0,0,
"QF_NIA_small\1541.smt2",0,0.700650699912511,0.766,0.896,1,0,0,
"QF_NIA_small\1547.smt2",0,1.34447300771208,1.5,2.188,1,0,0,
"QF_NIA_small\1555.smt2",0,0.344381035996488,0.375,0.766,1,0,0,
"QF_NIA_small\1557.smt2",0,0.451778455284553,0.531,0.686,1,0,0,
"QF_NIA_small\1567.smt2",0,0.072574378330373,0.078,0.182,1,0,0,
"QF_NIA_small\1574.smt2",0,111.200725338491,137.406,142.802,1,0,0,
"QF_NIA_small\1582.smt2",0,0.057396839332748,0.063,0.288,1,0,0,
"QF_NIA_small\1586.smt2",0,0.084500215424386,0.094,0.153,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0499427043544691,0.063,0.205,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0879642088266954,0.078,0.161,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0563334769495907,0.063,0.143,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0751436781609195,0.094,0.234,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0704168461869884,0.078,0.134,1,0,0,
"QF_NIA_small\1648.smt2",0,1.59907999118554,1.734,2.238,0,1,0,
"QF_NIA_small\1649.smt2",0,0.897249788851351,1.016,2.412,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0700246358183376,0.078,0.67,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0980344901456727,0.109,0.236,1,0,0,
"QF_NIA_small\167.smt2",0,0.086095258999122,0.094,0.671,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0700246358183376,0.078,0.36,1,0,0,
"QF_NIA_small\1689.smt2",0,26.917470008569,30.031,31.232,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0867425917735515,0.094,0.177,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0833510412239694,0.094,0.212,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0456741965533302,0.047,0.161,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0716831140350877,0.078,0.168,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0425065019505852,0.047,0.156,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0536740558292282,0.063,0.172,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0557569296375267,0.063,0.172,1,0,0,
"QF_NIA_small\177.smt2",,856.674856674857,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0576753418614909,0.063,0.29,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0544564764681382,0.063,0.193,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0718406593406594,0.078,0.289,1,0,0,
"QF_NIA_small\179.smt2",0,0.0546385290430422,0.063,0.171,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0614715561824166,0.063,0.183,1,0,0,
"QF_NIA_small\1805.smt2",0,0.304624189627229,0.359,0.515,0,1,0,
"QF_NIA_small\1809.smt2",0,0.660620452708165,0.781,0.95,0,1,0,
"QF_NIA_small\181.smt2",,1013.07506053269,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,942.767012167643,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,894.017094017094,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,923.212709620477,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0592164855072464,0.063,0.168,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0846826424870466,0.094,0.182,1,0,0,
"QF_NIA_small\1858.smt2",0,0.068241127348643,0.078,0.182,1,0,0,
"QF_NIA_small\187.smt2",0,0.0410991198658843,0.047,0.193,1,0,0,
"QF_NIA_small\1884.smt2",0,0.168225455265241,0.203,0.378,1,0,0,
"QF_NIA_small\1895.smt2",0,72.978536345776,88.781,92.353,1,0,0,
"QF_NIA_small\1898.smt2",0,72.444773976024,69.328,72.162,1,0,0,
"QF_NIA_small\1901.smt2",0,154.48321143617,194.359,202.166,1,0,0,
"QF_NIA_small\1917.smt2",0,0.162624378109453,0.219,0.403,1,0,0,
"QF_NIA_small\192.smt2",0,0.0564794816414687,0.063,0.172,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0671545968156138,0.063,0.166,1,0,0,
"QF_NIA_small\1933.smt2",0,1.03223684210526,1.125,1.259,1,0,0,
"QF_NIA_small\1934.smt2",0,1.16636931311329,1.25,1.416,0,1,0,
"QF_NIA_small\199.smt2",0,0.138213530655391,0.156,0.288,1,0,0,
"QF_NIA_small\20.smt2",0,1.7665274339934,2.047,2.199,1,0,0,
"QF_NIA_small\203.smt2",0,6.58289930555556,7.25,7.547,1,0,0,
"QF_NIA_small\211.smt2",0,14.021526528777,14.906,16.643,1,0,0,
"QF_NIA_small\23.smt2",0,7.05432189913676,7.422,7.762,1,0,0,
"QF_NIA_small\250.smt2",0,0.0557807167235495,0.063,0.148,1,0,0,
"QF_NIA_small\257.smt2",0,0.0678727159468439,0.078,0.168,1,0,0,
"QF_NIA_small\264.smt2",0,0.0719083909490886,0.109,0.234,1,0,0,
"QF_NIA_small\269.smt2",0,0.109140233722871,0.125,1.273,1,0,0,
"QF_NIA_small\281.smt2",0,0.0705688687392055,0.078,0.179,1,0,0,
"QF_NIA_small\307.smt2",0,56.1942087399236,63.313,65.86,1,0,0,
"QF_NIA_small\310.smt2",0,219.274372478709,233.844,243.137,1,0,0,
"QF_NIA_small\322.smt2",0,0.0892694583522986,0.094,0.304,1,0,0,
"QF_NIA_small\34.smt2",0,46.0046296296296,49.875,51.919,1,0,0,
"QF_NIA_small\35.smt2",,915.936952714536,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.064548775671406,0.078,0.151,1,0,0,
"QF_NIA_small\364.smt2",0,0.0701147576147576,0.078,0.127,1,0,0,
"QF_NIA_small\367.smt2",0,0.0558521999145664,0.063,0.171,1,0,0,
"QF_NIA_small\370.smt2",0,0.0431803170409511,0.047,0.155,1,0,0,
"QF_NIA_small\377.smt2",0,0.0514358772619984,0.063,0.131,1,0,0,
"QF_NIA_small\40.smt2",,981.238273921201,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.0936604584527221,0.094,0.209,1,0,0,
"QF_NIA_small\424.smt2",0,23.7913495971352,25.406,26.428,1,0,0,
"QF_NIA_small\443.smt2",0,0.0768755879586077,0.078,0.173,1,0,0,
"QF_NIA_small\449.smt2",0,0.204808897243108,0.234,0.386,1,0,0,
"QF_NIA_small\455.smt2",0,0.0879090094128194,0.094,0.189,1,0,0,
