path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains002se.smt2,SAT,20,18640,SAT,21,51480
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains016se.smt2,SAT,37,22370,SAT,47,54480
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort002un.smt2,UNSAT,35,18740,UNSAT,57,51600
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains003ue.smt2,UNSAT,49,19020,UNSAT,56,51820
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc06k05.smt2,UNSAT,46,21690,UNSAT,60,55430
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains014se.smt2,SAT,57,21870,SAT,66,55100
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem002ue.smt2,UNSAT,115,19400,ERROR,26,52030
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains019se.smt2,SAT,67,23140,SAT,77,54590
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/memcpy02.smt2,UNSAT,90,19340,UNSAT,97,51710
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains038se.smt2,SAT,178,28190,SAT,181,59300
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains042se.smt2,SAT,184,29540,SAT,199,60040
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc04k07.smt2,UNSAT,206,23040,UNSAT,214,55640
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains040se.smt2,SAT,177,28940,SAT,200,61950
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/memcpy03.smt2,UNSAT,174,19670,UNSAT,182,51710
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem008se.smt2,SAT,170,22490,SAT,41,55710
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in04k06.smt2,SAT,590,30820,SAT,130,59560
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains110se.smt2,SAT,428,55860,SAT,430,81030
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains075se.smt2,SAT,560,51850,SAT,575,66640
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains007ue.smt2,UNSAT,408,20220,UNSAT,415,52690
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains046se.smt2,SAT,174,30180,SAT,192,62640
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains080se.smt2,SAT,801,41000,SAT,898,67350
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains006se.smt2,SAT,31,19680,SAT,40,52540
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/matrixmultcomm04.smt2,SAT,1546,134450,SAT,497,165000
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort005un.smt2,UNSAT,1097,20560,UNSAT,1136,55720
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/memcpy06.smt2,UNSAT,1129,21730,UNSAT,1145,52210
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains190se.smt2,SAT,1417,97540,SAT,1435,134930
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort006un.smt2,UNSAT,653,20670,UNSAT,680,54480
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains150se.smt2,SAT,1590,77640,SAT,1776,91930
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/dubreva003ue.smt2,UNSAT,1762,21330,UNSAT,1760,52000
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem004ue.smt2,UNSAT,803,21120,ERROR,47,53390
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/binarysearch32s032.smt2,UNSAT,2971,24650,UNSAT,3062,63410
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/memcpy07.smt2,UNSAT,1408,23020,UNSAT,1418,52650
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains090se.smt2,SAT,434,51190,SAT,449,69790
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in06k09.smt2,SAT,5314,410900,SAT,241,90650
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem018se.smt2,SAT,6952,38440,SAT,120,66470
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains050se.smt2,SAT,250,31340,SAT,273,61680
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem016ue.smt2,UNKNOWN,10009,35930,ERROR,128,63950
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem019ue.smt2,UNKNOWN,10011,39400,ERROR,121,68240
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem020se.smt2,UNKNOWN,10011,43220,SAT,137,69040
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem022se.smt2,UNKNOWN,10010,46890,SAT,159,72610
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem014ue.smt2,UNKNOWN,10006,34090,ERROR,122,62280
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem021ue.smt2,UNKNOWN,10008,43140,ERROR,165,71790
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem023ue.smt2,UNKNOWN,10010,61450,ERROR,187,75540
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem036se.smt2,UNKNOWN,10012,102700,SAT,309,108740
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem034se.smt2,UNKNOWN,10009,109300,SAT,318,103700
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem028ue.smt2,UNKNOWN,10014,61580,ERROR,331,91780
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains010se.smt2,SAT,196,20880,SAT,220,53750
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem025ue.smt2,UNKNOWN,10030,56650,ERROR,255,85180
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia06k09.smt2,UNKNOWN,10019,219630,SAT,701,150000
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem058se.smt2,UNKNOWN,10018,211780,SAT,780,220720
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains005ue.smt2,UNSAT,299,19640,UNSAT,339,52320
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem060se.smt2,UNKNOWN,10018,203540,SAT,858,225300
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem048se.smt2,UNKNOWN,10028,135830,SAT,865,156120
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort003un.smt2,UNSAT,148,19080,UNSAT,170,52250
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem032se.smt2,UNKNOWN,10051,79150,SAT,468,99450
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in08k06.smt2,UNKNOWN,10027,700090,SAT,1766,661200
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in04k07.smt2,SAT,1284,45550,SAT,382,63960
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem009ue.smt2,UNKNOWN,10028,28580,ERROR,103,57040
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem012ue.smt2,UNKNOWN,10006,31740,ERROR,103,60090
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/binarysearch32s016.smt2,UNSAT,1106,21900,UNSAT,1131,56860
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains065se.smt2,SAT,864,34650,SAT,1107,65310
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains028se.smt2,SAT,219,25860,SAT,237,58550
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia06k08.smt2,UNKNOWN,10018,385250,SAT,2461,235410
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort004un.smt2,UNSAT,156,19470,UNSAT,192,52680
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia06k10.smt2,UNKNOWN,10020,550760,SAT,2537,261920
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains004se.smt2,SAT,57,19120,SAT,75,51940
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains100se.smt2,SAT,1285,55460,SAT,1435,72120
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains140se.smt2,SAT,1145,65480,SAT,1308,89150
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains012se.smt2,SAT,187,21540,SAT,91,54520
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains044se.smt2,SAT,213,29080,SAT,284,60390
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc04k06.smt2,UNSAT,57,20300,UNSAT,71,53970
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/matrixmultcomm08.smt2,UNKNOWN,10047,999800,SAT,4302,1006960
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc08k06.smt2,UNSAT,203,30980,UNSAT,310,65960
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/matrixmultcomm05.smt2,SAT,3784,265550,SAT,1257,291620
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/memcpy12.smt2,UNSAT,6956,25760,UNSAT,8811,53350
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc06k08.smt2,UNSAT,7558,97370,UNSAT,8421,97430
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains009se.smt2,SAT,97,20550,SAT,147,53590
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains180se.smt2,SAT,2530,106010,SAT,2305,106410
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia04k06.smt2,SAT,2838,43430,SAT,1742,76950
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem005ue.smt2,UNSAT,2241,22410,ERROR,59,53960
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains015ue.smt2,UNKNOWN,10007,25230,UNKNOWN,10005,54920
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains034ue.smt2,UNKNOWN,10006,30060,UNKNOWN,10010,61170
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains018ue.smt2,UNKNOWN,10007,26250,UNKNOWN,10010,54890
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort008un.smt2,UNKNOWN,10006,23680,UNKNOWN,10012,62340
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort014un.smt2,UNKNOWN,10007,27830,UNKNOWN,10010,64019
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains022ue.smt2,UNKNOWN,10008,26770,UNKNOWN,10009,56000
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains095ue.smt2,UNKNOWN,10010,52010,UNKNOWN,10010,71960
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/binarysearch32s128.smt2,UNKNOWN,10008,33930,UNKNOWN,10010,72900
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains017ue.smt2,UNKNOWN,10008,25650,UNKNOWN,10010,55790
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia04k07.smt2,UNKNOWN,10011,78730,UNKNOWN,10011,98810
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains036ue.smt2,UNKNOWN,10009,30150,UNKNOWN,10009,61630
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort007un.smt2,UNKNOWN,10006,23000,UNKNOWN,10027,62380
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32ia06k05.smt2,UNKNOWN,10018,195100,UNKNOWN,10016,195200
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort035un.smt2,UNKNOWN,10010,38920,UNKNOWN,10026,80310
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc06k09.smt2,UNKNOWN,10013,107860,UNKNOWN,10020,129020
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort045un.smt2,UNKNOWN,10013,96700,UNKNOWN,10022,143220
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains055ue.smt2,UNKNOWN,10009,35490,UNKNOWN,10026,65600
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in06k08.smt2,UNKNOWN,10016,208300,UNKNOWN,10029,208890
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort040un.smt2,UNKNOWN,10009,52070,UNKNOWN,10021,95800
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/bubsort016un.smt2,UNKNOWN,10016,28070,UNKNOWN,10019,64510
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/selsort030un.smt2,UNKNOWN,10009,58390,UNKNOWN,10028,96920
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32bc08k07.smt2,UNKNOWN,10019,451500,UNKNOWN,10053,472080
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in06k10.smt2,UNKNOWN,10019,253260,UNKNOWN,10030,253580
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains007se.smt2,SAT,31,19950,SAT,43,52460
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains011se.smt2,SAT,37,20980,SAT,50,54140
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains020ue.smt2,UNKNOWN,10006,27090,UNKNOWN,10021,56230
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/wchains060ue.smt2,UNKNOWN,10017,35870,UNKNOWN,10026,64849
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/swapmem004se.smt2,SAT,81,19800,SAT,79,53040
/home/ceisenhofer/SMTLIB/BenchMin/QF_ABV/brummayerbiere/fifo32in10k07.smt2,UNKNOWN,10108,5387830,UNKNOWN,10097,5439040
