path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp16_5vars_0ite_unsat.smt2,UNSAT,33,18510,UNSAT,68,51580,UNSAT,27,51580
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp4_5vars_0ite_unsat.smt2,UNSAT,24,18510,UNSAT,68,51570,UNSAT,27,51570
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp6_4vars_0ite_unsat.smt2,UNSAT,18,18470,UNSAT,68,51380,UNSAT,27,51380
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp10_5vars_0ite_unsat.smt2,UNSAT,32,18520,UNSAT,68,51580,UNSAT,43,51580
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp14_4vars_0ite_unsat.smt2,UNSAT,26,18470,UNSAT,68,51380,UNSAT,43,51380
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp8_5vars_0ite_unsat.smt2,UNSAT,33,18510,UNSAT,67,51570,UNSAT,43,51570
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp4_9vars_1ite_unsat.smt2,UNSAT,23,18960,UNSAT,68,52420,UNSAT,43,52420
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp6_3vars_0ite_unsat.smt2,UNSAT,21,18350,UNSAT,68,51230,UNSAT,43,51230
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp6_8vars_1ite_unsat.smt2,UNSAT,19,18820,UNSAT,68,52220,UNSAT,65,52220
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp6_7vars_2ite_unsat.smt2,UNSAT,43,18880,UNSAT,68,52130,UNSAT,65,52130
/home/ceisenhofer/SMTLIB/BenchMin/QF_LIA/rings_preprocessed/ring_2exp8_7vars_1ite_unsat.smt2,UNSAT,47,19070,UNSAT,68,52330,UNSAT,65,52330
