path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node28604.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node17126.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/integer_cubic_root_knuth-node1362.smt2,UNSAT,30,17790,UNSAT,68,17810,UNSAT,10,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/bouncing-ball-simple-node1628.smt2,UNSAT,29,17890,UNSAT,69,17910,UNSAT,9,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/simple_example_2-node2074.smt2,UNSAT,25,17890,UNSAT,68,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/simple_example_1-node2318.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/bouncing-ball-inv-node1935.smt2,UNSAT,25,17890,UNSAT,65,17910,UNSAT,13,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_2clocks.worst_case_skew.base.smt2,UNSAT,15,18310,UNSAT,68,18330,UNSAT,10,18330
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/simple_example_2-node2406.smt2,UNSAT,25,17890,UNSAT,68,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node23593.smt2,UNSAT,30,17890,UNSAT,69,17910,UNSAT,14,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_7clocks.worst_case_skew.base.smt2,UNSAT,18,18330,UNSAT,69,18350,UNSAT,14,18350
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/intersection-example-onelane.proof-node846.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,15,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_4clocks.worst_case_skew.base.smt2,UNSAT,22,18320,UNSAT,69,18340,UNSAT,14,18340
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/bouncing-ball-inv-node1886.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,15,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node21443.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,15,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/division_dijkstra-node701.smt2,UNSAT,30,17790,UNSAT,68,17810,UNSAT,15,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/square_root_zuse-node902.smt2,UNSAT,29,17790,UNSAT,68,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node4029.smt2,UNSAT,30,17890,UNSAT,67,17910,UNSAT,18,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/bouncing-ball-simple-node1629.smt2,UNSAT,24,17890,UNSAT,69,17910,UNSAT,17,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node15243.smt2,UNSAT,28,17890,UNSAT,69,17910,UNSAT,24,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node28718.smt2,UNSAT,30,17890,UNSAT,69,17910,UNSAT,24,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/water_tank-node5964.smt2,UNSAT,30,17890,UNSAT,78,17910,UNSAT,16,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/intersection-example-simple.proof-node606.smt2,UNSAT,30,17890,UNSAT,69,17910,UNSAT,25,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/keymaera/intersection-example-simple.proof-node634.smt2,UNSAT,30,17880,UNSAT,69,17900,UNSAT,27,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_3clocks.worst_case_skew.base.smt2,UNSAT,15,18320,UNSAT,78,18340,UNSAT,17,18340
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_9clocks.worst_case_skew.base.smt2,UNSAT,84,18340,UNSAT,23,18360,UNSAT,17,18360
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_5clocks.worst_case_skew.base.smt2,UNSAT,20,18320,UNSAT,78,18340,UNSAT,17,18340
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_8clocks.worst_case_skew.base.smt2,UNSAT,84,18330,UNSAT,23,18350,UNSAT,29,18350
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_6clocks.worst_case_skew.base.smt2,UNSAT,17,18330,UNSAT,78,18350,UNSAT,29,18350
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_10clocks.worst_case_skew.base.smt2,UNSAT,92,18340,UNSAT,13,18360,UNSAT,29,18360
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-03.smt2,SAT,90,18430,SAT,22,51110,SAT,22,51110
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-width-4.smt2,SAT,80,18700,SAT,32,51530,SAT,28,51530
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A05.smt2,SAT,81,18680,SAT,33,51550,SAT,29,51550
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-depth-7.smt2,SAT,93,18710,SAT,26,51470,SAT,27,51470
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_2clocks.main_invar.base.smt2,UNSAT,20,18990,UNSAT,88,52210,UNSAT,36,52210
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_3clocks.main_invar.base.smt2,UNSAT,91,19540,UNSAT,43,53250,UNSAT,40,53150
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-matrix1x1.pddl.smt2,SAT,22,18330,SAT,22,51050,SAT,22,51050
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-depth-3.smt2,SAT,17,18440,SAT,32,51250,SAT,24,51250
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking04.smt2,SAT,18,18550,SAT,34,51370,SAT,26,51370
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking18.smt2,SAT,105,19540,SAT,40,52610,SAT,41,52610
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_4clocks.main_invar.base.smt2,UNSAT,82,20390,UNSAT,55,54790,UNSAT,53,55080
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking08.smt2,SAT,24,18800,SAT,30,51710,SAT,26,51710
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-07.smt2,SAT,28,18680,SAT,30,51590,SAT,26,51590
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking10.smt2,SAT,23,19020,SAT,30,51940,SAT,37,51940
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/clock_synchro/clocksynchro_2clocks.worst_case_skew.induct.smt2,UNSAT,83,18700,UNSAT,57,51610,UNSAT,64,51610
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking09.smt2,SAT,18,18920,SAT,31,51900,SAT,31,51900
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking11.smt2,SAT,19,19020,SAT,28,51980,SAT,32,51980
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A04.smt2,SAT,15,18670,SAT,24,51530,SAT,27,51530
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking14.smt2,SAT,22,19280,SAT,35,52400,SAT,32,52400
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-matrix3x3.pddl.smt2,SAT,31,19240,SAT,38,52230,SAT,36,52320
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A09.smt2,SAT,22,19130,SAT,34,52090,SAT,39,52090
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-tempo-depth-6.smt2,SAT,16,18590,SAT,26,51420,SAT,26,51420
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking01.smt2,SAT,12,18330,SAT,25,51090,SAT,23,51090
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A08.smt2,SAT,20,19020,SAT,33,52020,SAT,37,52020
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking20.smt2,SAT,26,19660,SAT,39,52890,SAT,40,52890
/home/ceisenhofer/SMTLIB/BenchMin/QF_LRA/DTP-Scheduling/constraints-cooking21.smt2,SAT,29,19770,SAT,46,52950,SAT,43,52950
