path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0468.smt2,SAT,14,18560,SAT,21,51240,SAT,20,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0999.smt2,SAT,16,18560,SAT,23,51240,SAT,24,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0576.smt2,SAT,15,18560,SAT,26,51240,SAT,21,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0280.smt2,SAT,14,18560,SAT,23,51240,SAT,24,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/SQ_02.smt2,UNSAT,18,18690,UNSAT,30,51500,UNSAT,23,51500
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0386.smt2,SAT,18,18560,SAT,26,51240,SAT,27,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/MQ_02.smt2,UNSAT,24,18610,UNSAT,29,51400,UNSAT,38,51400
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0061.smt2,SAT,23,18560,SAT,31,51340,SAT,32,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0602.smt2,SAT,26,18560,SAT,36,51240,SAT,30,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0271.smt2,SAT,24,18560,SAT,40,51240,SAT,30,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0547.smt2,SAT,31,18560,SAT,38,51240,SAT,36,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0945.smt2,SAT,18,18560,SAT,24,51240,SAT,24,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0065.smt2,SAT,12,18470,SAT,20,51240,SAT,20,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0539.smt2,SAT,35,18560,SAT,45,51330,SAT,45,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0766.smt2,UNKNOWN,10007,48780,UNKNOWN,10011,79050,SAT,23,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0315.smt2,UNKNOWN,10008,48850,UNKNOWN,10008,79050,SAT,58,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0757.smt2,UNKNOWN,10007,48780,UNKNOWN,10014,79050,SAT,71,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0088.smt2,UNKNOWN,10009,82280,UNKNOWN,10013,81830,SAT,71,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0324.smt2,UNKNOWN,10009,48740,UNKNOWN,10014,79040,SAT,71,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0298.smt2,UNKNOWN,10007,48740,UNKNOWN,10011,79040,SAT,113,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0134.smt2,UNKNOWN,10008,48740,UNKNOWN,10032,79070,SAT,91,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0003.smt2,UNKNOWN,10008,82280,UNKNOWN,10024,82300,SAT,131,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0981.smt2,UNKNOWN,10009,82280,UNKNOWN,10050,115050,SAT,215,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0441.smt2,UNKNOWN,10025,48750,UNKNOWN,10063,79050,SAT,131,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0090.smt2,UNKNOWN,10012,82280,UNKNOWN,10069,115050,SAT,187,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0637.smt2,SAT,55,18560,SAT,50,51240,SAT,73,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0649.smt2,UNKNOWN,10009,48920,UNKNOWN,10012,79050,SAT,293,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0470.smt2,UNKNOWN,10010,48930,UNKNOWN,10018,79050,SAT,270,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0101.smt2,UNKNOWN,10022,48730,UNKNOWN,10037,79070,SAT,102,51240
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0514.smt2,UNKNOWN,10010,82280,UNKNOWN,10050,79010,SAT,401,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_NIA/20220315-MathProblems/STC_0729.smt2,SAT,39,18470,SAT,67,51240,SAT,60,51240
