path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10 result,hybrid-10 time,hybrid-10 memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12046.smt2,SAT,9,17800,SAT,10,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20240318-omark/parikh.smt2,UNSAT,10,18160,UNSAT,10,18180
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20240318-omark/lyndon-schuetzenberg-2.smt2,UNSAT,14,18510,UNSAT,12,18530
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11329.smt2,UNSAT,14,17900,UNSAT,12,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00661.smt2,SAT,9,17800,SAT,12,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15027.smt2,UNSAT,11,18000,UNSAT,12,18020
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06826.smt2,UNSAT,10,17900,UNSAT,10,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07764.smt2,UNSAT,11,17900,UNSAT,10,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20240318-omark/noodles-unsat-10.smt2,SAT,15,18600,SAT,22,51320
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07600.smt2,SAT,10,17900,SAT,13,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20240318-omark/noodles-unsat-4.smt2,UNSAT,16,18700,UNSAT,24,51550
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08980.smt2,SAT,16,18760,SAT,21,51500
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20240318-omark/cyclic-xy.smt2,UNSAT,17,18560,UNSAT,26,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11085.smt2,UNSAT,21,19780,UNSAT,20,19800
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01847.smt2,SAT,15,18700,SAT,23,51370
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13257.smt2,UNSAT,11,17900,UNSAT,10,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09959.smt2,UNSAT,11,17990,UNSAT,11,18010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05981.smt2,SAT,16,19000,SAT,25,51710
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01923.smt2,SAT,13,18700,SAT,24,51530
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12122.smt2,SAT,18,19390,SAT,27,52190
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00705.smt2,SAT,14,18780,SAT,26,51430
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03972.smt2,SAT,19,18790,SAT,24,51310
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02630.smt2,SAT,16,19000,SAT,27,51730
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05651.smt2,SAT,15,18900,SAT,24,51400
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05735.smt2,SAT,18,19800,SAT,25,51740
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10138.smt2,UNSAT,14,18910,UNSAT,15,18930
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04877.smt2,SAT,19,19000,SAT,25,51600
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06575.smt2,SAT,11,17900,SAT,13,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00586.smt2,SAT,9,17800,SAT,10,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04524.smt2,SAT,11,17800,SAT,16,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14319.smt2,SAT,34,19640,SAT,25,51680
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03816.smt2,SAT,23,20100,SAT,34,52840
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05499.smt2,SAT,21,20020,SAT,37,52730
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12169.smt2,SAT,15,18960,SAT,26,51800
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01048.smt2,SAT,10,17800,SAT,10,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10017.smt2,SAT,34,20360,SAT,44,53120
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01470.smt2,SAT,14,18780,SAT,23,51530
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03939.smt2,SAT,15,18910,SAT,25,51670
