path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1884.corecstrs.readable.smt2,SAT,55,18530,SAT,30,51300,SAT,28,51200
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/big/821.corecstrs.readable.smt2,SAT,55,18640,SAT,30,51340,SAT,32,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/big/838.corecstrs.readable.smt2,SAT,60,18550,SAT,32,51330,SAT,30,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a.smt2,SAT,60,18690,SAT,34,51280,SAT,29,51280
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1598.corecstrs.readable.smt2,SAT,44,18530,SAT,30,51300,SAT,33,51200
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1635.corecstrs.readable.smt2,SAT,55,18530,SAT,32,51300,SAT,29,51300
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc.smt2,SAT,60,18490,SAT,34,51170,SAT,31,51170
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/big/846.corecstrs.readable.smt2,SAT,59,18550,SAT,32,51340,SAT,33,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1551.corecstrs.readable.smt2,SAT,53,18540,SAT,35,51210,SAT,30,51310
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1885.corecstrs.readable.smt2,SAT,52,18530,SAT,34,51300,SAT,31,51300
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2008.corecstrs.readable.smt2,SAT,44,18420,SAT,34,51120,SAT,31,51120
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1574.corecstrs.readable.smt2,SAT,54,18530,SAT,34,51300,SAT,31,51300
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1567.corecstrs.readable.smt2,SAT,45,18530,SAT,32,51300,SAT,34,51300
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/big/812.corecstrs.readable.smt2,SAT,60,18550,SAT,35,51350,SAT,31,51350
/home/ceisenhofer/SMTLIB/BenchMin/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1553.corecstrs.readable.smt2,SAT,44,18540,SAT,34,51310,SAT,33,51210
