path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_6_QF_UFDTLIA.smt2,SAT,49,20240,SAT,66,55110,SAT,62,53930
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_40_QF_UFDTLIA.smt2,SAT,77,21800,SAT,115,61820,SAT,137,61980
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFDTLIA.smt2,UNSAT,100,23290,UNSAT,127,59820,UNSAT,126,59820
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFDTLIA.smt2,SAT,118,23710,SAT,151,61730,SAT,148,62110
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFDTLIA.smt2,UNSAT,232,24850,UNSAT,263,63320,UNSAT,307,63980
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_8_QF_UFDTLIA.smt2,SAT,166,24120,SAT,195,62530,SAT,575,62930
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_13_QF_UFDTLIA.smt2,SAT,271,28650,SAT,366,71790,SAT,328,72600
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFDTLIA.smt2,SAT,430,34510,SAT,534,81740,SAT,648,82540
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_12_QF_UFDTLIA.smt2,SAT,374,32800,SAT,437,79330,SAT,1008,80020
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_34_QF_UFDTLIA.smt2,SAT,109,22090,SAT,144,58360,SAT,179,58530
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_43_QF_UFDTLIA.smt2,SAT,272,31390,SAT,396,76040,SAT,632,76730
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_58_QF_UFDTLIA.smt2,SAT,392,25910,SAT,409,69530,SAT,403,71400
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_14_QF_UFDTLIA.smt2,SAT,949,40820,SAT,1459,96150,SAT,1837,96510
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/72658_63104dadde9c6026353f_70_QF_UFDTLIA.smt2,SAT,763,51890,SAT,976,106920,SAT,925,108030
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_24_QF_UFDTLIA.smt2,SAT,1591,59000,SAT,2085,114030,SAT,1922,114030
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFDTLIA.smt2,SAT,1725,28030,SAT,1957,70180,SAT,2004,70650
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFDTLIA.smt2,SAT,1326,55040,SAT,2131,120780,SAT,2415,120780
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/63058_55d6bef5390186355f11_26_QF_UFDTLIA.smt2,SAT,1310,45010,SAT,1908,181280,SAT,2754,174310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_62_QF_UFDTLIA.smt2,SAT,1778,35160,SAT,1899,79890,SAT,2494,80430
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_17_QF_UFDTLIA.smt2,SAT,1350,54950,SAT,2630,120910,SAT,2378,120800
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFDTLIA.smt2,SAT,1112,42220,SAT,1686,175560,SAT,3723,173220
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_48_QF_UFDTLIA.smt2,SAT,2914,29040,SAT,3607,73640,SAT,3169,73450
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_23_QF_UFDTLIA.smt2,SAT,1694,61980,SAT,2064,95810,SAT,6072,184050
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_60_QF_UFDTLIA.smt2,SAT,405,31170,SAT,505,78370,UNKNOWN,10021,78990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFDTLIA.smt2,SAT,774,34030,SAT,1025,88410,UNKNOWN,10008,88580
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFDTLIA.smt2,SAT,929,33730,SAT,1251,89980,UNKNOWN,10009,89500
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_72_QF_UFDTLIA.smt2,UNSAT,3883,103690,UNSAT,5909,209870,UNSAT,6659,209870
