path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_14_18_inconsistent_pre___00.smt2,SAT,12,17790,SAT,14,17810,SAT,12,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P929-043__flow_pkg_elaboration_in_direct_calls__nest_in_proc.adb_9_7_precondition___00.smt2,SAT,13,17790,SAT,14,17810,SAT,13,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__real_world__real_world.adb_44_22_assert___00.smt2,UNSAT,14,17890,UNSAT,15,17910,UNSAT,13,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC22-015__succ_overflow__p.adb_21_31_range_check___00.smt2,UNSAT,14,17890,UNSAT,15,17910,UNSAT,13,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__functions.adb_16_7_functions.adb_29_4_precondition___00.smt2,SAT,14,17790,SAT,15,17810,SAT,12,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_6_22_assert___00.smt2,UNSAT,14,17890,UNSAT,15,17910,UNSAT,13,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC22-015__succ_overflow__p.adb_37_38_overflow_check___00.smt2,UNSAT,13,17880,UNSAT,14,17900,UNSAT,13,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_24_22_assert___00.smt2,SAT,15,17790,SAT,14,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__enums__enums.adb_194_29_range_check___00.smt2,SAT,12,17890,SAT,14,17910,SAT,14,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_44_22_assert___00.smt2,UNSAT,12,17790,UNSAT,14,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_8_22_assert___00.smt2,UNSAT,13,17890,UNSAT,14,17910,UNSAT,15,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_constr.adb_24_30_null_pointer_dereference___00.smt2,UNSAT,12,17990,UNSAT,12,18000,UNSAT,15,18000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/NC11-033__variant__variants.ads_14_20_range_check___00.smt2,UNSAT,13,17880,UNSAT,14,17900,UNSAT,14,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_80_22_assert___00.smt2,UNSAT,13,17790,UNSAT,14,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/N915-008__flow_acats_oo__cc1311a.adb_279_17_cc1311a.adb_441_6_range_check___00.smt2,UNSAT,14,17890,UNSAT,14,17910,UNSAT,14,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_20_33_unreachable_branch___00.smt2,SAT,11,17790,SAT,15,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/OB17-029__ceiling_elaboration_task__t.ads_2_9_task_termination___00.smt2,UNSAT,10,17790,UNSAT,15,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P602-007__protected_no_return__p.adb_23_6_precondition___00.smt2,SAT,11,17790,SAT,14,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/L316-015__all__a2.adb_4_5_precondition___00.smt2,UNSAT,12,17790,UNSAT,13,17810,UNSAT,13,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P712-004__prot_discr__main.adb_7_19_assert___00.smt2,UNSAT,15,17980,UNSAT,10,18000,UNSAT,14,18000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_87_22_assert___00.smt2,UNSAT,13,17790,UNSAT,15,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_139_33_unreachable_branch___00.smt2,SAT,13,17790,SAT,15,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/NC11-033__variant__variants.ads_13_20_range_check___00.smt2,UNSAT,12,17880,UNSAT,15,17900,UNSAT,14,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/Q512-013__flow_type_aspects__a.adb_7_10_dead_code___00.smt2,SAT,14,17790,SAT,15,17810,SAT,16,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_18_22_assert___00.smt2,UNSAT,13,17790,UNSAT,15,17810,UNSAT,16,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/L531-021__discr__subty.ads_5_20_range_check___00.smt2,UNSAT,13,17880,UNSAT,16,17900,UNSAT,15,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_138_22_assert___00.smt2,UNSAT,13,17790,UNSAT,16,17810,UNSAT,15,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_9_35_range_check___00.smt2,SAT,14,17890,SAT,14,17910,SAT,18,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_71_22_assert___00.smt2,SAT,15,17790,SAT,17,17810,SAT,20,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P126-025__generic_procedure_renaming__c.adb_8_4_precondition___00.smt2,UNSAT,13,17790,UNSAT,18,17810,UNSAT,20,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_8_35_range_check___00.smt2,SAT,15,17890,SAT,17,17910,SAT,22,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_30_22_assert___00.smt2,SAT,15,17790,SAT,16,17810,SAT,22,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/Q508-012__flow_null_proc__expanded.ads_7_9_task_termination___00.smt2,SAT,14,17790,SAT,18,17810,SAT,22,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC20-032__succ_pred__p.adb_32_29_overflow_check___00.smt2,UNSAT,13,17880,UNSAT,14,17900,UNSAT,24,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_19_17_ceiling__priority_protocol___00.smt2,UNSAT,15,17890,UNSAT,17,17910,UNSAT,22,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__nested_packages.adb_56_13_dead_code___00.smt2,SAT,17,17790,SAT,11,17810,SAT,13,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P511-009__test_attributes__component_size_attribute.adb_55_7_assert___00.smt2,SAT,15,17790,SAT,25,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/OB16-016__system_default_priority__main.adb_3_11_ceiling__priority_protocol___00.smt2,UNSAT,15,17880,UNSAT,25,17900,UNSAT,13,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/O521-002__no_return__p.adb_23_6_precondition___00.smt2,SAT,17,17790,SAT,13,17810,SAT,13,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__functions.adb_9_10_dead_code___00.smt2,SAT,14,17790,SAT,15,17810,SAT,26,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC20-032__succ_pred__p.adb_41_19_range_check___00.smt2,UNSAT,14,17880,UNSAT,13,17900,UNSAT,14,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_66_22_assert___00.smt2,UNSAT,17,17790,UNSAT,13,17810,UNSAT,15,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_6_35_range_check___00.smt2,SAT,15,17890,SAT,16,17910,SAT,14,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_33_22_assert___00.smt2,SAT,16,17790,SAT,16,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/riposte__logic__logic.adb_27_22_assert___00.smt2,SAT,15,17790,SAT,16,17810,SAT,15,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/K512-016__task__t.ads_3_9_task_termination___00.smt2,SAT,19,17790,SAT,16,17810,SAT,16,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_7_35_range_check___00.smt2,SAT,18,17890,SAT,14,17910,SAT,16,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/S920-003__flow_noret__noret.adb_6_7_raise___00.smt2,SAT,17,17790,SAT,16,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC22-015__succ_overflow__p.adb_37_19_range_check___00.smt2,UNSAT,14,17880,UNSAT,14,17900,UNSAT,16,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P725-016__recursive_spec__main.adb_5_19_precondition___00.smt2,UNSAT,13,17790,UNSAT,16,17810,UNSAT,14,17810
