path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_6_QF_UFDTNIA.smt2,SAT,34,19560,SAT,48,53670,SAT,46,52880
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFDTNIA.smt2,UNSAT,81,22520,UNSAT,103,60120,UNSAT,101,60530
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_40_QF_UFDTNIA.smt2,SAT,88,21450,SAT,134,60230,SAT,133,60360
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_12_QF_UFDTNIA.smt2,SAT,125,25660,SAT,170,65800,SAT,166,66460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_48_QF_UFDTNIA.smt2,SAT,206,24970,SAT,233,65750,SAT,318,66170
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_58_QF_UFDTNIA.smt2,SAT,468,25420,SAT,527,69670,SAT,702,69630
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_13_QF_UFDTNIA.smt2,SAT,320,27700,SAT,378,68710,SAT,1573,69140
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_19_QF_UFDTNIA.smt2,UNSAT,738,21330,UNSAT,860,55530,UNSAT,756,55690
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_8_QF_UFDTNIA.smt2,SAT,863,23420,SAT,968,59550,SAT,971,59600
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_0_UFDTNIA.smt2,SAT,1437,25790,SAT,1643,66300,SAT,1706,66560
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_17_QF_UFDTNIA.smt2,SAT,1594,54570,SAT,2426,119760,SAT,2328,119760
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_43_QF_UFDTNIA.smt2,UNSAT,588,25670,UNSAT,595,64000,UNSAT,3702,64180
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFDTNIA.smt2,SAT,2082,56200,SAT,2421,122060,SAT,3374,122060
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/63058_55d6bef5390186355f11_26_QF_UFDTNIA.smt2,SAT,2363,47900,SAT,2843,132040,SAT,3939,172170
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFDTNIA.smt2,SAT,794,27280,SAT,963,67350,SAT,8457,67530
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_60_QF_UFDTNIA.smt2,SAT,231,26660,SAT,300,71940,UNKNOWN,10019,71940
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFDTNIA.smt2,SAT,312,28920,SAT,433,78850,UNKNOWN,10016,80100
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_14_QF_UFDTNIA.smt2,SAT,750,39210,SAT,1237,104370,UNKNOWN,10022,105460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_23_QF_UFDTNIA.smt2,SAT,1619,45910,SAT,2113,137090,SAT,9538,232990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFDTNIA.smt2,SAT,3924,28410,SAT,4451,71110,SAT,5615,70040
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFDTNIA.smt2,SAT,1658,32850,SAT,2326,83620,UNKNOWN,10048,85600
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFDTNIA.smt2,SAT,3723,41560,SAT,4321,173980,SAT,6041,173080
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFDTNIA.smt2,SAT,3414,74540,SAT,5419,186030,SAT,7164,186100
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_47_QF_UFDTNIA.smt2,SAT,5031,29200,SAT,4840,70450,SAT,6320,70320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFDTNIA.smt2,SAT,1650,43530,SAT,2191,98630,UNKNOWN,10037,110520
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_24_QF_UFDTNIA.smt2,SAT,2923,62610,SAT,4505,274440,UNKNOWN,10044,268020
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_31_QF_UFDTNIA.smt2,SAT,3758,58490,SAT,4417,118020,UNKNOWN,10027,117240
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_72_QF_UFDTNIA.smt2,UNSAT,3654,98530,UNSAT,6076,199940,UNSAT,9127,199940
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_11_QF_UFDTNIA.smt2,SAT,1548,54500,SAT,1611,111460,UNKNOWN,10021,112500
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/44289_b077fc096b3d41cba49f8628caff7fa5_16_QF_UFDTNIA.smt2,SAT,5239,56910,SAT,6799,122280,UNKNOWN,10041,121920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_39_QF_UFDTNIA.smt2,SAT,6655,70990,UNKNOWN,10032,142930,UNKNOWN,10036,154210
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTNIA/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_44_QF_UFDTNIA.smt2,SAT,6973,55970,UNKNOWN,10031,117920,UNKNOWN,10037,116980
