path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.606709.smt2,UNSAT,13,18280,UNSAT,17,18300,UNSAT,11,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.602033.smt2,UNSAT,14,17880,UNSAT,15,17900,UNSAT,11,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.606727.smt2,UNSAT,14,18280,UNSAT,15,18300,UNSAT,11,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.602059.smt2,UNSAT,14,17880,UNSAT,15,17900,UNSAT,11,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.686091.smt2,UNSAT,13,17880,UNSAT,17,17900,UNSAT,11,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.666078.smt2,UNSAT,16,18280,UNSAT,13,18300,UNSAT,11,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.675482.smt2,UNSAT,16,18280,UNSAT,13,18300,UNSAT,12,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.686126.smt2,UNSAT,15,17880,UNSAT,13,17900,UNSAT,12,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.675513.smt2,UNSAT,12,18280,UNSAT,17,18300,UNSAT,13,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLIA/TwoSquares/smtlib.602046.smt2,UNSAT,12,17880,UNSAT,17,17900,UNSAT,13,17900
