path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--misc--ab8500-ponkey.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,23,17890,UNSAT,11,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--gunze.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,24,17890,UNSAT,11,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_6_true-unreach-call.i.smt2,SAT,22,18430,SAT,22,51230,SAT,21,51230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pointer_extension2_false-unreach-call.i.smt2,SAT,22,18360,SAT,25,51160,SAT,20,51160
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.trex01_false-unreach-call_true-termination.i.smt2,SAT,22,18470,SAT,24,51380,SAT,22,51380
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.sum01_false-unreach-call_true-termination.i.smt2,SAT,23,18350,SAT,25,51160,SAT,22,51160
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr_10_false-unreach-call.cil.c.smt2,SAT,24,18830,SAT,26,51870,SAT,25,51870
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.string_true-unreach-call.i.smt2,UNSAT,22,18420,UNSAT,27,51480,UNSAT,25,51480
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.m0_false-unreach-call_drivers-staging-comedi-drivers-ni_670x-ko--107_1a--adbbc36-1.c.smt2,SAT,25,18520,SAT,26,51570,SAT,26,51570
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_4_true-unreach-call.i.smt2,SAT,26,18420,SAT,31,51220,SAT,21,51220
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.alt_test.c_false-unreach-call.i.smt2,SAT,25,18450,SAT,32,51250,SAT,21,51250
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.test_locks_15_false-unreach-call.c.smt2,SAT,24,18890,SAT,29,52040,SAT,26,52040
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_7_true-unreach-call.i.smt2,SAT,23,18430,SAT,32,51230,SAT,22,51230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.linear_sea.ch_true-unreach-call.i.smt2,SAT,25,18830,SAT,28,51890,SAT,27,51890
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.mutex_lock_int.c_false-unreach-call.i.smt2,SAT,13,18340,SAT,22,51040,SAT,23,51040
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.kbfiltr_simpl2_false-unreach-call_true-termination.cil.c.smt2,SAT,25,18910,SAT,30,52030,SAT,28,52030
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.test_locks_14_true-unreach-call.c.smt2,UNSAT,23,19060,UNSAT,41,53120,UNSAT,35,53120
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product11_false-unreach-call.cil.c.smt2,SAT,25,19650,SAT,42,53750,SAT,45,53750
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.module_get_put-drivers-block-drbd-drbd.ko_false-unreach-call.cil.out.i.pp.i.smt2,SAT,23,19320,SAT,39,52990,SAT,51,52990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--tsc40.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,11,17890,UNSAT,9,17910,UNSAT,17,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr.blast.06_false-unreach-call.i.cil.c.smt2,SAT,27,19950,SAT,48,54580,SAT,53,54580
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product33_false-unreach-call.cil.c.smt2,SAT,28,20210,SAT,49,54550,SAT,51,54550
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr.blast.12_false-unreach-call.i.cil.c.smt2,SAT,25,19880,SAT,50,54390,SAT,50,54390
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.trex02_false-unreach-call_true-termination.i.smt2,SAT,11,18300,SAT,20,51000,SAT,27,51000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product28_false-unreach-call.cil.c.smt2,SAT,35,20070,SAT,44,54270,SAT,49,54270
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product35_false-unreach-call.cil.c.smt2,SAT,32,20510,SAT,48,54910,SAT,48,55110
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--usb--storage--ums-usbat.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,36,19850,SAT,46,53960,SAT,47,54250
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.sum01_true-unreach-call_true-termination.i.smt2,SAT,12,18340,SAT,24,51150,SAT,40,51150
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr.blast.10_false-unreach-call.i.cil.c.smt2,SAT,34,19910,SAT,42,54210,SAT,54,54210
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_2_true-unreach-call.i.smt2,SAT,13,18370,SAT,35,51170,SAT,28,51170
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product17_false-unreach-call.cil.c.smt2,SAT,36,19930,SAT,52,54440,SAT,68,54440
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.test_locks_8_true-unreach-call_false-termination.c.smt2,UNSAT,16,18780,UNSAT,30,52170,UNSAT,30,52170
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.test_locks_10_true-unreach-call.c.smt2,UNSAT,17,18910,UNSAT,38,52530,UNSAT,31,52530
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product37_false-unreach-call.cil.c.smt2,SAT,38,20600,SAT,62,55880,SAT,61,55880
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product06_false-unreach-call.cil.c.smt2,SAT,31,20110,SAT,54,54840,SAT,61,54840
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product49_false-unreach-call.cil.c.smt2,SAT,39,20530,SAT,67,55930,SAT,67,55930
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product42_true-unreach-call.cil.c.smt2,UNSAT,39,20190,UNSAT,65,55590,UNSAT,68,55590
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product29_false-unreach-call.cil.c.smt2,SAT,40,20620,SAT,65,55900,SAT,65,55900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.m0_false-unreach-call_drivers-staging-comedi-drivers-ni_pcidio-ko--107_1a--adbbc36-1.c.smt2,SAT,12,18530,SAT,23,51460,SAT,56,51460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--joystick--twidjoy.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,37,20800,SAT,64,56290,SAT,68,56280
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product45_true-unreach-call.cil.c.smt2,UNSAT,39,20580,UNSAT,67,56640,UNSAT,64,56640
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product52_false-unreach-call.cil.c.smt2,SAT,39,20610,SAT,68,56240,SAT,66,56240
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec4_product49_true-unreach-call.cil.c.smt2,UNSAT,41,20330,UNSAT,67,55890,UNSAT,67,55890
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product25_false-unreach-call.cil.c.smt2,SAT,40,19910,SAT,61,54460,SAT,50,54460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product32_false-unreach-call.cil.c.smt2,SAT,39,20650,SAT,73,56280,SAT,63,56280
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.while_infinite_loop_3_true-unreach-call_false-termination.i.smt2,UNSAT,26,17890,UNSAT,15,17910,UNSAT,11,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--atm--adummy.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,11,17880,UNSAT,12,17900,UNSAT,10,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec2_product53_true-unreach-call.cil.c.smt2,UNSAT,43,20560,UNSAT,74,56860,UNSAT,84,56860
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product51_false-unreach-call.cil.c.smt2,SAT,44,20770,SAT,72,56430,SAT,91,56430
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr_6_false-unreach-call.cil.c.smt2,SAT,24,18660,SAT,22,51680,SAT,28,51680
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--touchwin.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,21,17890,UNSAT,11,17910,UNSAT,17,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product54_false-unreach-call.cil.c.smt2,SAT,48,21110,SAT,81,57330,SAT,82,57330
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--xen--xenfs--xenfs.ko-ldv_main1_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,47,20760,SAT,83,56030,SAT,72,56030
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.kbfiltr_false-unreach-call.i.cil.c.smt2,SAT,19,19210,SAT,51,52800,SAT,41,52800
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.trex03_false-unreach-call_true-termination.i.smt2,SAT,14,18440,SAT,23,51250,SAT,33,51250
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_1_true-unreach-call.i.smt2,SAT,10,18310,SAT,22,51020,SAT,21,51020
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.recursive_list.c_false-unreach-call.i.smt2,SAT,15,18660,SAT,24,51610,SAT,23,51610
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--video--backlight--lms283gf05.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,42,20990,SAT,71,57110,SAT,74,57110
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec4_product62_true-unreach-call.cil.c.smt2,UNSAT,59,21200,UNSAT,97,58160,UNSAT,89,58160
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--usb--storage--ums-freecom.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,28,19820,SAT,45,54190,SAT,45,54190
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.m0_false-unreach-call_drivers-staging-comedi-drivers-ni_6527-ko--107_1a--adbbc36-1.c.smt2,SAT,17,18520,SAT,26,51450,SAT,22,51450
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--hampshire.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,21,17890,UNSAT,12,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product40_false-unreach-call.cil.c.smt2,SAT,44,20710,SAT,69,56500,SAT,71,56500
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-vp7045.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,65,21740,SAT,94,58060,SAT,94,58060
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.test_locks_13_true-unreach-call.c.smt2,UNSAT,18,19010,UNSAT,36,52970,UNSAT,37,52970
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--mtouch.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,17,17890,UNSAT,10,17910,UNSAT,10,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--edac--mce_amd_inj.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,17,19030,SAT,34,52380,SAT,40,52380
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.m0_true-unreach-call_sound-oss-opl3-ko--111_1a--42f9f8d.c.smt2,SAT,26,18490,SAT,21,51290,SAT,22,51290
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--usb--storage--ums-sddr55.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,27,19850,SAT,44,54260,SAT,49,53960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product24_false-unreach-call.cil.c.smt2,SAT,27,19930,SAT,39,53990,SAT,38,53990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--video--gspca--gspca_stv0680.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,65,21120,UNSAT,94,57960,UNSAT,96,57960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--staging--iio--addac--adt7316-spi.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,73,21970,SAT,101,58420,SAT,107,58420
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.mutex_lock_struct.c_false-unreach-call.i.smt2,SAT,23,18340,SAT,21,51040,SAT,22,51040
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.gcd_4_true-unreach-call.i.smt2,UNSAT,9,17890,UNSAT,10,17910,UNSAT,9,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--joystick--magellan.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,75,22710,SAT,117,59700,SAT,110,59700
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.sum01_bug02_false-unreach-call_true-termination.i.smt2,SAT,12,18350,SAT,19,51170,SAT,22,51170
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--touchright.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,13,17890,UNSAT,12,17910,UNSAT,9,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--misc--vmw_balloon.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SAT,79,22160,SAT,110,58480,SAT,120,58480
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_40_true-unreach-call.c.smt2,UNSAT,53,22830,UNSAT,130,61780,UNSAT,128,61780
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product61_true-unreach-call.cil.c.smt2,UNSAT,51,21180,UNSAT,96,58220,UNSAT,88,58220
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec4_product54_true-unreach-call.cil.c.smt2,UNSAT,45,20620,UNSAT,81,56960,UNSAT,79,56960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.main1_true-unreach-call_drivers-media-video-tlg2300-poseidon-ko--32_7a--4a349aa-1.c.smt2,SAT,32,20300,SAT,56,55070,SAT,54,55070
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_10_true-unreach-call.c.smt2,UNSAT,54,22850,UNSAT,138,61660,UNSAT,127,61660
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.floppy_simpl3_false-unreach-call_true-termination.cil.c.smt2,SAT,14,18980,SAT,30,52200,SAT,30,52200
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product32_false-unreach-call.cil.c.smt2,SAT,28,20440,SAT,46,54790,SAT,48,54790
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.modulus_true-unreach-call.i.smt2,SAT,11,18390,SAT,22,51310,SAT,21,51310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product36_false-unreach-call.cil.c.smt2,SAT,28,19940,SAT,50,54520,SAT,46,54520
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr.blast.15_false-unreach-call.i.cil.c.smt2,SAT,23,19950,SAT,39,54390,SAT,47,55270
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product23_false-unreach-call.cil.c.smt2,SAT,38,20620,SAT,67,56140,SAT,62,56140
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product16_false-unreach-call.cil.c.smt2,SAT,33,20100,SAT,68,55020,SAT,63,55020
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product35_false-unreach-call.cil.c.smt2,SAT,35,20000,SAT,51,54700,SAT,51,54700
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--net--arcnet--rfc1051.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,UNSAT,15,17880,UNSAT,13,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product63_false-unreach-call.cil.c.smt2,SAT,72,21570,SAT,98,59090,SAT,96,59090
