path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.683654.smt2,UNSAT,16,17880,UNSAT,90,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.704037.smt2,UNSAT,16,17880,UNSAT,90,17900,UNSAT,8,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.683688.smt2,UNSAT,16,17880,UNSAT,92,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.683620.smt2,UNSAT,97,17880,UNSAT,11,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.704124.smt2,UNSAT,16,17880,UNSAT,92,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.704095.smt2,UNSAT,16,17880,UNSAT,92,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/TwoSquares/z3.704066.smt2,UNSAT,16,17880,UNSAT,92,17900,UNSAT,9,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFNIA.smt2,UNSAT,96,21370,UNSAT,79,58440,UNSAT,78,58630
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_40_QF_UFNIA.smt2,SAT,207,22190,SAT,212,57280,SAT,220,57310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_8_QF_UFNIA.smt2,SAT,712,23080,SAT,810,58830,SAT,790,58960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_43_QF_UFNIA.smt2,UNSAT,670,25460,UNSAT,737,64550,UNSAT,946,64830
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_0_UFNIA.smt2,SAT,680,24270,SAT,720,62410,SAT,999,62540
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_6_QF_UFNIA.smt2,SAT,79,19640,SAT,125,53320,SAT,114,53410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_58_QF_UFNIA.smt2,SAT,831,28470,SAT,969,66180,SAT,1082,66240
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_47_QF_UFNIA.smt2,SAT,2546,29790,SAT,1347,68220,SAT,2337,69220
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_48_QF_UFNIA.smt2,SAT,2827,35240,SAT,1051,74660,SAT,3471,77050
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_19_QF_UFNIA.smt2,UNSAT,3449,22080,UNSAT,3807,55850,UNSAT,3652,55870
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_60_QF_UFNIA.smt2,SAT,517,38640,SAT,714,84220,UNKNOWN,10026,83520
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFNIA.smt2,SAT,1800,58250,SAT,2262,110790,UNKNOWN,10033,109690
