path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/z3.641736.smt2,UNSAT,13,17880,UNSAT,9,17900,UNSAT,18,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.640350.smt2,UNSAT,15,17880,UNSAT,26,17900,UNSAT,10,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.631031.smt2,UNSAT,15,18290,UNSAT,26,18310,UNSAT,10,18310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.631195.smt2,UNSAT,15,18280,UNSAT,26,18300,UNSAT,11,18300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.631113.smt2,UNSAT,13,18290,UNSAT,28,18310,UNSAT,11,18310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.631277.smt2,UNSAT,15,18300,UNSAT,26,18320,UNSAT,11,18320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.630867.smt2,UNSAT,16,18290,UNSAT,24,18310,UNSAT,11,18310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.630785.smt2,UNSAT,17,18300,UNSAT,24,18320,UNSAT,11,18320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/smtlib.630949.smt2,UNSAT,16,18290,UNSAT,24,18310,UNSAT,13,18310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20190906-CLEARSY/0004/00003.smt2,SAT,15,18390,SAT,23,51090,SAT,21,51090
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/FFT/z3.630166.smt2,SAT,17,18280,SAT,24,50990,SAT,21,50990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/modSimpleTest.smt2,SAT,18,18700,SAT,25,51510,SAT,20,51510
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/modInvInitial.smt2,SAT,39,18940,SAT,25,51830,SAT,24,51830
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/l40f.smt2,UNSAT,46,19390,UNSAT,41,19410,UNSAT,40,19410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/l40m.smt2,UNSAT,47,19390,UNSAT,42,19410,UNSAT,40,19410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/modInvStep.smt2,SAT,50,19350,SAT,57,52310,SAT,60,52310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStepFinala.smt2,SAT,74,19150,SAT,35,51810,SAT,79,52000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/modInvVar1.smt2,SAT,99,19330,SAT,93,52150,SAT,28,51920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/m40.easy.smt2,SAT,185,29110,SAT,204,65900,SAT,203,66140
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/s40.smt2,SAT,252,29050,SAT,265,65970,SAT,266,66250
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/c40s.smt2,SAT,303,31910,SAT,315,69390,SAT,314,69680
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/c40m.smt2,SAT,311,29470,SAT,327,66350,SAT,329,66520
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40m50.smt2,SAT,343,29250,SAT,347,66150,SAT,344,66410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40m25.smt2,SAT,335,29920,SAT,353,66810,SAT,357,67080
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40s25.smt2,SAT,389,32720,SAT,409,70090,SAT,398,70370
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40f25.smt2,SAT,401,30420,SAT,416,67350,SAT,422,67620
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/c40f.smt2,SAT,408,29190,SAT,420,65960,SAT,420,66230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40f10.smt2,SAT,414,31320,SAT,427,68180,SAT,447,68440
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40s10.smt2,SAT,430,33130,SAT,446,70380,SAT,446,70700
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/l40s.smt2,SAT,455,30430,SAT,469,67570,SAT,469,67870
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40s50.smt2,SAT,578,32090,SAT,587,69480,SAT,593,69760
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStepFinal.smt2,SAT,913,19380,SAT,42,51830,SAT,923,52350
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40f50.smt2,SAT,676,30840,SAT,691,67700,SAT,690,67990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40m10.smt2,SAT,734,31160,SAT,753,68070,SAT,741,68260
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40s99.smt2,SAT,933,35180,SAT,943,72680,SAT,940,72970
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40m99.smt2,SAT,1192,34430,SAT,1194,71470,SAT,1199,71660
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40f99.smt2,SAT,1197,34200,SAT,1209,71130,SAT,1191,71420
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/20revert.u.smt2,SAT,3227,30400,SAT,3244,66060,SAT,3277,66400
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep6.smt2,UNSAT,6285,23160,UNSAT,6319,56260,UNSAT,6513,56260
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/20u10.09.smt2,SAT,7955,31010,SAT,7977,67250,SAT,8024,67390
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/modInvFull.smt2,SAT,9365,25980,UNKNOWN,10007,60270,UNKNOWN,10007,59930
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/10u05.04.smt2,UNKNOWN,10006,23100,UNKNOWN,10007,58270,UNKNOWN,10007,57920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep2a.smt2,UNKNOWN,10008,22330,UNKNOWN,10005,55370,UNKNOWN,10006,55370
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep7.smt2,UNKNOWN,10006,21110,UNKNOWN,10007,54260,UNKNOWN,10007,54270
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep3a.smt2,UNKNOWN,10007,21800,UNKNOWN,10006,54840,UNKNOWN,10006,54840
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep2.smt2,UNKNOWN,10008,23340,UNKNOWN,10007,56890,UNKNOWN,10006,56520
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep7a.smt2,UNKNOWN,10008,23640,UNKNOWN,10006,56740,UNKNOWN,10006,56650
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2,UNKNOWN,10007,22300,UNKNOWN,10007,55410,UNKNOWN,10006,55320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep4a.smt2,UNKNOWN,10006,21080,UNKNOWN,10008,54310,UNKNOWN,10006,54310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep1a.smt2,UNKNOWN,10007,24540,UNKNOWN,10006,57660,UNKNOWN,10009,57570
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep5a.smt2,UNKNOWN,10015,19760,UNKNOWN,10007,52910,UNKNOWN,10006,52830
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep1.smt2,UNKNOWN,10009,48780,UNKNOWN,10010,81800,UNKNOWN,10010,81800
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep4.smt2,UNKNOWN,10016,21660,UNKNOWN,10006,54720,UNKNOWN,10006,54720
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/30u15.14.smt2,UNKNOWN,10011,42690,UNKNOWN,10010,80730,UNKNOWN,10011,80760
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep3.smt2,UNKNOWN,10018,28010,UNKNOWN,10007,61250,UNKNOWN,10006,61060
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/m40.smt2,UNKNOWN,10013,54530,UNKNOWN,10011,94130,UNKNOWN,10010,94540
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/20230328-sqrtmodinv-hoenicke/sqrtStep5.smt2,UNKNOWN,10021,23100,UNKNOWN,10006,56170,UNKNOWN,10006,56180
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFNRA/cas/40u20.19.smt2,UNKNOWN,10021,48280,UNKNOWN,10009,87950,UNKNOWN,10009,88310
